test_bearing,obs_cycle,rul_true,rul_pred,score,dataset
1,10,116,44.98788864651881,0.42799126347973043,Train
1,11,115,42.58969365028284,0.4177438007946919,Train
1,12,114,41.15118710627717,0.4123526690752062,Train
1,13,113,42.4559586949062,0.42086600788842277,Train
1,14,112,50.64748906046791,0.46794777974301516,Train
1,15,111,48.86092762658669,0.46021409484330267,Train
1,16,110,50.19585397994195,0.4706256607916806,Train
1,17,109,54.30724745332862,0.4987757591590726,Train
1,18,108,42.63590267643523,0.4321349293087074,Train
1,19,107,41.27827231359672,0.4267776385698074,Train
1,20,106,27.82662652425001,0.3597410473647614,Train
1,21,105,18.61448199931351,0.31964923846983595,Train
1,22,104,17.982535968805244,0.3177178386752318,Train
1,23,103,42.53463025077557,0.4431647848956722,Train
1,24,102,46.297271300927,0.4690421998522108,Train
1,25,101,45.10417013078298,0.4643073048377386,Train
1,26,100,43.39759485061089,0.4562675309406023,Train
1,27,99,38.80304753906295,0.43044474214510337,Train
1,28,98,38.79663934187101,0.432798723694005,Train
1,29,97,37.193012978289104,0.42539242456698523,Train
1,30,96,35.900246236152896,0.419842987646587,Train
1,31,95,35.952789451208176,0.42246415143493815,Train
1,32,94,36.44745570051805,0.42793921105691085,Train
1,33,93,39.03481913715167,0.44734459056563947,Train
1,34,92,37.050048014257065,0.43691841751177923,Train
1,35,91,37.22102533895257,0.440753677767307,Train
1,36,90,30.85141798237679,0.40208908151516104,Train
1,37,89,30.144396847399957,0.3998143548509702,Train
1,38,88,27.01608937790476,0.38262473119128043,Train
1,39,87,27.05487658479587,0.3847387870348712,Train
1,40,86,27.00230713874552,0.3863447319433235,Train
1,41,85,27.00490447074625,0.38834465563300413,Train
1,42,84,27.00491066962931,0.39038622796739403,Train
1,43,83,30.10745271150728,0.4133628922051829,Train
1,44,82,30.237726928836064,0.4168226368357519,Train
1,45,81,30.102815581959614,0.4184941604552801,Train
1,46,80,30.123718068350087,0.42135056116288777,Train
1,47,79,30.604484786497046,0.42773734683646086,Train
1,48,78,27.63017042862443,0.4085164018128879,Train
1,49,77,27.631764495244305,0.4111418593311038,Train
1,50,76,27.61248993091194,0.41369644688592994,Train
1,51,75,27.71795880269766,0.41729674373616876,Train
1,52,74,27.18582359225083,0.41602784263571796,Train
1,53,73,27.12370464570566,0.4184465319696072,Train
1,54,72,27.123389933181247,0.42144827943959734,Train
