HI,regime
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.002618400789794536,0
0.005493661290931159,0
0.0073617221187353725,0
0.00888059613354782,1
0.00963275407437887,1
0.00967523658048902,1
0.009694898347016053,1
0.010215438694758895,1
0.010503600291736649,1
0.011705904117403881,0
0.013552603424962244,0
0.015961236495565558,0
0.01829128659200257,0
0.02010519988632625,0
0.021500525268151854,0
0.02283127482987808,1
0.024264385514689412,1
0.02571143067176664,1
0.027420424119180487,1
0.030116753300949314,1
0.03330371814882054,1
0.03598090497021534,0
0.038248402781812456,0
0.040069031007166855,0
0.04122950489067132,0
0.04222926690750561,0
0.04282983243294015,0
0.04325536186920735,1
0.043866786631372515,1
0.04487537759506816,1
0.04620907535229895,1
0.04814947858355333,1
0.050020151166580186,1
0.05170465043368777,0
0.053395489353291956,0
0.0555386032948525,0
0.057491396925956416,0
0.05849414734973724,0
0.05899900769046669,0
0.05895228716847468,1
0.05862195131038287,1
0.05761314953066515,1
0.05624979337835191,1
0.05486411233511323,1
0.05411873525771622,1
0.053677558016730624,1
0.05366852016302829,0
0.06333158728312449,0
0.07239626845548275,0
0.08030932332862996,0
0.08709703508226944,0
0.0927571377773093,0
0.09758811289681829,1
0.10127692830082355,1
0.09492060686209948,1
0.08927187305592553,1
0.08513402604741634,1
0.08385697170060852,1
0.08335619634388643,0
0.08563184396040158,0
0.09784012942353187,0
0.11331474377414452,0
0.13153945822225113,0
0.15376227096763254,0
0.1786695706598906,1
0.21253089602667197,1
0.24087017211557593,1
0.25724443229708055,1
0.26821487891403084,1
0.2744022689103325,1
0.2740582481209142,0
0.2677163061649584,0
0.26174408520789844,0
0.2588926822621011,0
0.2657420672716989,0
0.27382645297268954,0
0.28215757563280575,1
0.2987683171595566,1
0.31597271179861874,1
0.3207513162608216,1
0.3227342091699758,1
0.31529107973594456,1
0.31112944891777367,0
0.3345101296528705,0
0.44695924045598223,0
0.6497649412428593,0
0.8479872837748463,0
1.0,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,0
1.0,0
0.9913149856816791,0
0.9235531701445416,0
0.90738280028405,0
0.9482553290992505,0
0.9919804363460712,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,0
1.0,0
0.9531851799460348,0
0.8834273927054868,0
0.8309608431498414,0
