bearing,cycle,HI
1,0,0.0107747570401693
1,1,0.0138818082779859
1,2,0.0179099424022154
1,3,0.0226631479524168
1,4,0.0310168458770942
1,5,0.0407850762170405
1,6,0.0513190030665064
1,7,0.0618812012900954
1,8,0.0715243083559842
1,9,0.0795449057322058
1,10,0.0858139786607305
1,11,0.0905588590942788
1,12,0.0943849140443051
1,13,0.0981786006881604
1,14,0.1030056168607914
1,15,0.1097792227667685
1,16,0.118698877189814
1,17,0.1293709267697203
1,18,0.1410594801538729
1,19,0.1527273964979068
1,20,0.1631540095627568
1,21,0.1710252984770459
1,22,0.1757332214637907
1,23,0.1775241924908139
1,24,0.1771572759864041
1,25,0.1757360744822168
1,26,0.174541896346169
1,27,0.1749359842491791
1,28,0.1779635977317177
1,29,0.1837457799498289
1,30,0.1916819468059689
1,31,0.2007087555846274
1,32,0.2094805864245495
1,33,0.2165711992529001
1,34,0.2208144550121303
1,35,0.2219422453610756
1,36,0.2204168338818288
1,37,0.2172725752096972
1,38,0.2138575971760184
1,39,0.2116641333303565
1,40,0.2118919782258165
1,41,0.214955150519715
1,42,0.2203529196696386
1,43,0.2270587933284867
1,44,0.233678008930095
1,45,0.2386516701913855
1,46,0.2406928925471424
1,47,0.2394221054559864
1,48,0.2354042176739042
1,49,0.2298290685698168
1,50,0.2242589987443692
1,51,0.2204332264834946
1,52,0.2197106016897591
1,53,0.2225966219079943
1,54,0.2286348610210688
1,55,0.2366918529601647
1,56,0.2452116842914459
1,57,0.2523609328182785
1,58,0.2566439346814708
1,59,0.257672307164105
1,60,0.2560570141363907
1,61,0.2530847441442608
1,62,0.2505345645111275
1,63,0.2504866984479993
1,64,0.2546185286438515
1,65,0.2634841910815363
1,66,0.2765202072781059
1,67,0.2924414045918234
1,68,0.3094482570795095
1,69,0.3252888337756699
1,70,0.3378460041298777
1,71,0.3464175692133752
1,72,0.351867307798208
1,73,0.3558838652685036
1,74,0.3605681378423068
1,75,0.3682857111427183
1,76,0.3815974237433798
1,77,0.4016113292713072
1,78,0.4278095517180239
1,79,0.458280465544023
1,80,0.4905048536676525
1,81,0.5216899416853084
1,82,0.5488536220778798
1,83,0.5694591678847536
1,84,0.5833000082385364
1,85,0.591551439729075
1,86,0.5962668076441147
1,87,0.5998046802380747
1,88,0.6046429849138264
1,89,0.6128382662343412
1,90,0.625180378846458
1,91,0.6408392953490722
1,92,0.6581540033243405
1,93,0.6750958168351183
1,94,0.6895133475106012
1,95,0.6996790290209217
1,96,0.7051958430669111
1,97,0.7069779428610528
1,98,0.7066724798063029
1,99,0.7062528080934671
1,100,0.7077035282097381
1,101,0.712587905958121
1,102,0.7214428238680194
1,103,0.7337281707378511
1,104,0.7482645274974811
1,105,0.7634688982955514
1,106,0.7775194734162515
1,107,0.78894822960143
1,108,0.7974488763155546
1,109,0.8037537249161673
1,110,0.8091049519286144
1,111,0.8149598898266726
1,112,0.82287817362471
1,113,0.8341839488863685
1,114,0.8494081622427077
1,115,0.868081531101862
1,116,0.88914957825137
1,117,0.9112606390910792
1,118,0.9329466292776156
1,119,0.9528898041164529
1,120,0.9701870479591544
1,121,0.9845159621570386
1,122,0.9959364638481624
1,123,1.0
1,124,1.0
1,125,1.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,3.1740573471112534e-05
2,13,0.0001242713321774
2,14,0.0002937285269386
2,15,0.0005473470207852
2,16,0.0010798391635724
2,17,0.0021910222185062
2,18,0.0041127353464626
2,19,0.0069185377309046
2,20,0.0106415679746116
2,21,0.0152941981342941
2,22,0.020846179503569
2,23,0.0268637270106315
2,24,0.0326829771661887
2,25,0.0377582854964087
2,26,0.0417452043253971
2,27,0.0444010990795866
2,28,0.0455980957225787
2,29,0.0453538491294626
2,30,0.0439365574756456
2,31,0.0417627968338142
