bearing_id,file_idx,time_sec,hi_kpca_pc1,hi_kpca_spe,hi_kpca_spe_cm,hi_kpca_md,hi_kpca_md_cm,spe_raw,md_raw,fpt_sec
1,1,0,0.0,1.4395128e-10,1.4395128e-10,0.0,0.0,1.4857546,2.2230997,10800
1,2,600,0.0,1.3925239e-10,1.4395128e-10,0.0,0.0,1.4650389,2.202695,10800
1,3,1200,0.0,1.30858e-10,1.4395128e-10,0.0,0.0,1.4280314,2.1304276,10800
1,4,1800,0.16737692,7.4020345e-11,1.4395128e-10,0.99518,0.99518,1.1774565,3.9905524,10800
1,5,2400,0.7406801,0.0,1.4395128e-10,0.5522881,0.99518,0.7845023,3.5490758,10800
1,6,3000,0.89478207,0.0,1.4395128e-10,0.0,0.99518,0.73596215,2.2466123,10800
1,7,3600,0.9497649,0.0,1.4395128e-10,0.0,0.99518,0.62326556,2.9164817,10800
1,8,4200,0.5991463,1.3544059e-11,1.4395128e-10,1.0,1.0,0.91084033,3.995357,10800
1,9,4800,1.0,0.0,1.4395128e-10,0.0,1.0,0.7111824,2.6065865,10800
1,10,5400,0.0,0.0,1.4395128e-10,0.7744141,1.0,0.70611256,3.770492,10800
1,11,6000,0.0,0.0,1.4395128e-10,0.0,1.0,0.5102139,1.9428132,10800
1,12,6600,0.0,0.0,1.4395128e-10,0.44180548,1.0,0.6677836,3.4389462,10800
1,13,7200,0.0,0.0,1.4395128e-10,0.7135572,1.0,0.78299516,3.7098296,10800
1,14,7800,0.0,0.0,1.4395128e-10,0.014157787,1.0,0.5618043,3.0126653,10800
1,15,8400,0.0,0.0,1.4395128e-10,0.08631338,1.0,0.6037645,3.0845902,10800
1,16,9000,0.7917764,0.0,1.4395128e-10,0.7303253,1.0,0.71074593,3.7265441,10800
1,17,9600,0.94211465,0.0,1.4395128e-10,0.0,1.0,0.77806944,2.8639007,10800
1,18,10200,0.92692566,0.0,1.4395128e-10,0.0,1.0,0.67681456,2.563278,10800
1,19,10800,0.0,5.7267355e-09,5.7267355e-09,0.0,1.0,26.098057,0.97884727,10800
1,20,11400,0.0,5.092485e-09,5.7267355e-09,0.0,1.0,23.301897,0.97884727,10800
1,21,12000,0.0,5.3660574e-09,5.7267355e-09,0.0,1.0,24.507969,0.97884727,10800
1,22,12600,0.0,2.9149447e-09,5.7267355e-09,0.0,1.0,13.701976,0.9788308,10800
1,23,13200,0.0,1.7277527e-09,5.7267355e-09,0.0,1.0,8.468113,0.97711706,10800
1,24,13800,0.0,0.0,5.7267355e-09,0.0,1.0,0.6949645,1.3976792,10800
1,25,14400,0.0,0.0,5.7267355e-09,0.0,1.0,0.60344535,2.164921,10800
1,26,15000,0.0,0.0,5.7267355e-09,0.0,1.0,0.53279555,1.8110839,10800
1,27,15600,0.0,0.0,5.7267355e-09,0.0,1.0,0.67864645,2.097845,10800
1,28,16200,0.0,0.0,5.7267355e-09,0.0,1.0,0.70002764,1.6784806,10800
1,29,16800,0.7768282,7.474375e-11,5.7267355e-09,0.0,1.0,1.1806457,1.7402494,10800
1,30,17400,0.7836844,7.976418e-11,5.7267355e-09,0.0,1.0,1.2027788,1.9891878,10800
1,31,18000,0.6552217,8.962467e-11,5.7267355e-09,0.0,1.0,1.2462499,1.7624432,10800
1,32,18600,0.6402119,9.029544e-11,5.7267355e-09,0.0,1.0,1.249207,1.8818198,10800
1,33,19200,0.62618995,5.3918116e-11,5.7267355e-09,0.0,1.0,1.0888337,1.7610334,10800
1,34,19800,0.70884126,4.6164968e-11,5.7267355e-09,0.0,1.0,1.054653,2.358081,10800
1,35,20400,0.0,0.0,5.7267355e-09,0.0,1.0,0.5898562,2.7573898,10800
1,36,21000,0.0,0.0,5.7267355e-09,0.0,1.0,0.55671585,2.4259884,10800
1,37,21600,0.0,0.0,5.7267355e-09,0.0,1.0,0.42442337,1.7014962,10800
1,38,22200,0.0,0.0,5.7267355e-09,0.0,1.0,0.6122009,1.9273316,10800
1,39,22800,0.0,0.0,5.7267355e-09,0.0,1.0,0.5625394,1.6743469,10800
1,40,23400,0.0,0.0,5.7267355e-09,0.0,1.0,0.539358,1.7830383,10800
1,41,24000,0.7179217,8.648488e-11,5.7267355e-09,0.0,1.0,1.2324078,2.565558,10800
1,42,24600,0.720509,1.11259654e-10,5.7267355e-09,0.0,1.0,1.34163,1.8710765,10800
1,43,25200,0.70577323,1.0957286e-10,5.7267355e-09,0.0,1.0,1.3341936,2.25963,10800
1,44,25800,0.67128557,9.143348e-11,5.7267355e-09,0.0,1.0,1.2542242,2.2504842,10800
1,45,26400,0.6714357,8.044624e-11,5.7267355e-09,0.0,1.0,1.2057858,2.361472,10800
1,46,27000,0.6393798,8.467791e-11,5.7267355e-09,0.0,1.0,1.2244415,2.1955202,10800
