bearing_id,file_idx,time_sec,hi_kpca_pc1,hi_kpca_spe,hi_kpca_spe_cm,hi_kpca_md,hi_kpca_md_cm,spe_raw,md_raw,fpt_sec
4,1,0,0.0,1.9192364e-06,1.9192364e-06,1.0,1.0,1.2283337,4.1280317,19200
4,2,600,0.0,1.2961494e-06,1.9192364e-06,0.42237023,1.0,1.1044177,3.4762614,19200
4,3,1200,0.0,0.0,1.9192364e-06,0.0,1.0,0.84375656,2.623141,19200
4,4,1800,0.6474471,1.0015495e-06,1.9192364e-06,0.33692765,1.0,1.0458293,3.3798518,19200
4,5,2400,0.8422019,0.0,1.9192364e-06,0.0,1.0,0.62165374,2.3178768,19200
4,6,3000,0.9688544,0.0,1.9192364e-06,0.0,1.0,0.36719754,1.7545106,19200
4,7,3600,1.0,0.0,1.9192364e-06,0.0,1.0,0.49721035,1.7761322,19200
4,8,4200,0.45243394,0.0,1.9192364e-06,0.49409872,1.0,0.5373283,3.5571964,19200
4,9,4800,0.9171675,0.0,1.9192364e-06,0.0,1.0,0.43852055,2.2702508,19200
4,10,5400,0.0,0.0,1.9192364e-06,0.0,1.0,0.6890972,2.972403,19200
4,11,6000,0.0,0.0,1.9192364e-06,0.12860073,1.0,0.38885695,3.1447856,19200
4,12,6600,0.0,0.0,1.9192364e-06,0.0,1.0,0.47777766,2.416712,19200
4,13,7200,0.0,0.0,1.9192364e-06,0.9371452,1.0,0.7417928,4.0571094,19200
4,14,7800,0.0,3.4525056e-06,3.4525056e-06,0.39072537,1.0,1.5332618,3.4405549,19200
4,15,8400,0.0,4.125986e-06,4.125986e-06,0.9967096,1.0,1.6671999,4.124319,19200
4,16,9000,0.43630627,4.4414708e-07,4.125986e-06,0.0,1.0,0.93497616,2.2314482,19200
4,17,9600,0.6729679,0.0,4.125986e-06,0.41726097,1.0,0.8066739,3.4704962,19200
4,18,10200,0.21840574,2.6067344e-06,4.125986e-06,0.19124834,1.0,1.3650595,3.2154741,19200
4,19,10800,0.8854343,2.8079388e-08,4.125986e-06,0.0,1.0,0.8522309,2.7002225,19200
4,20,11400,0.92343825,0.0,4.125986e-06,0.0,1.0,0.7917584,2.9367917,19200
4,21,12000,0.9129486,0.0,4.125986e-06,0.0,1.0,0.72145396,2.7629538,19200
4,22,12600,0.0,4.7070853e-07,4.125986e-06,0.0,1.0,0.94025856,2.0178435,19200
4,23,13200,0.0,2.5495972e-06,4.125986e-06,0.129112,1.0,1.3536963,3.1453624,19200
4,24,13800,0.0,1.9568674e-06,4.125986e-06,0.02374607,1.0,1.2358176,3.0264723,19200
4,25,14400,0.0,0.0,4.125986e-06,0.043300938,1.0,0.68629634,3.0485373,19200
4,26,15000,0.0,9.696132e-07,4.125986e-06,0.0,1.0,1.039478,2.4278069,19200
4,27,15600,0.0,1.1862161e-06,4.125986e-06,0.0,1.0,1.0825547,2.383552,19200
4,28,16200,0.5201414,2.3753e-07,4.125986e-06,0.0,1.0,0.89388525,2.1065824,19200
4,29,16800,0.8028038,0.0,4.125986e-06,0.0,1.0,0.6887894,2.6057186,19200
4,30,17400,0.5441195,7.366974e-07,4.125986e-06,0.0368307,1.0,0.9931569,3.0412364,19200
4,31,18000,0.37418494,2.7652634e-06,4.125986e-06,0.652159,1.0,1.3965869,3.7355442,19200
4,32,18600,0.36433008,1.8945516e-06,4.125986e-06,0.0,1.0,1.2234246,2.283763,19200
4,33,19200,0.15231654,6.0635775e-06,6.0635775e-06,0.42146754,1.0,2.0525372,3.4752429,19200
4,34,19800,0.0,3.1768004e-06,6.0635775e-06,0.0,1.0,1.4784311,1.7621351,19200
4,35,20400,0.0,5.9771132e-06,6.0635775e-06,0.0,1.0,2.0353417,2.2062957,19200
4,36,21000,0.0,1.4816357e-05,1.4816357e-05,0.0,1.0,3.7932415,1.5936173,19200
