shaft_hz,rpm,rms,kurtosis,crest,BPFI_h1,BPFI_h2,BPFI_h3,BPFO_h1,BPFO_h2,BPFO_h3,BSF_h1,BSF_h2,BSF_h3,FTF_h1,FTF_h2,FTF_h3,BPFI_sb_plus,BPFI_sb_minus,file,idx,time_min
12.890625,773.4375,0.1706652045249939,3.831246617197768,5.980122146330424,0.0030065961250415364,0.0026486141828894628,0.002633578119944355,0.002940684187261775,0.0029714312110365243,0.0028341137147709825,0.0030645815915280234,0.036360591555889554,0.002741637872184508,0.0031735787710364897,0.003270615677758105,0.0030090257853276057,0.036360591555889554,0.003135686158374773,000001.tdms,0,0.0
12.890625,773.4375,0.17217829823493958,3.8142907340880337,6.0602300883883515,0.00307094558169002,0.0028234040512390424,0.002493121908194499,0.00295092793928618,0.0030580998432250457,0.0028234040512390424,0.0029344835906061823,0.03706092621018065,0.002928831078207008,0.0031635871558458543,0.0029308180490466612,0.003141335483177059,0.03706092621018065,0.0029283449421465004,000002.tdms,1,10.0
12.890625,773.4375,0.17110244929790497,3.8024149066326154,6.945444154931191,0.0029663282450749263,0.0028354886030949582,0.002636696981740058,0.003127067799564258,0.002920681255572367,0.0028354886030949582,0.003156127714746383,0.03522297693156972,0.0027849158182184333,0.0032481748680794603,0.003072540944111912,0.003165965498255605,0.03522297693156972,0.002825508184599944,000003.tdms,2,20.0
16.796875,1007.8125,0.25013986229896545,3.5713144547056674,7.793420967507301,0.003159359524369617,0.002611295165552779,0.0022241723081155487,0.003167520942699289,0.00286190610608465,0.0028054674878480435,0.0031278444163334784,0.0030620481003797496,0.002735577522651877,0.003019782165570742,0.003093444025309279,0.0032725702016500094,0.0030620481003797496,0.0030090327832333207,000004.tdms,3,30.0
16.796875,1007.8125,0.26865261793136597,3.5446029482700547,8.053899911764242,0.00327663904358292,0.002685152237025301,0.0023554229383845643,0.0032851154613760436,0.0028904734360328172,0.0026784943098860587,0.0031764231539820735,0.0030322955054323405,0.0029279325179859487,0.0033183697607294485,0.0033965748100615806,0.003245967990776883,0.003139078044398816,0.003081887130659951,000005.tdms,4,40.0
16.796875,1007.8125,0.28077664971351624,3.4474520856484387,7.854915154499363,0.003045911444692744,0.0026727519911618346,0.002428271476452685,0.003044270796681474,0.002771545271094759,0.0028334088870645637,0.003195613978382677,0.0032213590060268457,0.0028443002272363505,0.003177966093264728,0.0033260155904584225,0.0033534102173553137,0.0032213590060268457,0.0028744705103985403,000006.tdms,5,50.0
16.796875,1007.8125,0.29093554615974426,3.410067674637013,7.323637750063331,0.003051875422713454,0.0027447631696516893,0.0025938280786091832,0.0032195059982309485,0.002957712828968597,0.0027447631696516893,0.0034849216560569407,0.003041039363985398,0.0030277899399170625,0.003118610299473589,0.003229704311942971,0.003307679955010725,0.003041039363985398,0.003011449384891241,000007.tdms,6,60.0
16.796875,1007.8125,0.29225286841392517,3.434562012682405,7.109680749642656,0.0029179871953354366,0.0027795871384113883,0.0022795081725585464,0.003238979557225484,0.0029127354633586987,0.0028166366704379673,0.003380063603624818,0.002947701214584069,0.002920155793923537,0.003142286284101263,0.0033558689559820476,0.0033217207572765746,0.0031367064173024725,0.0030774315962025555,000008.tdms,7,70.0
16.796875,1007.8125,0.2947309613227844,3.386875782409131,8.08829459033948,0.0031191469496372826,0.0026683445755839637,0.002359928100622531,0.0032176544901011033,0.0029276274754044566,0.0026683445755839637,0.0030077223396958812,0.0030060763849219115,0.0028660538922998377,0.003319251475638032,0.0031433334921452073,0.0031052897779806038,0.0030060763849219115,0.0030674009027928184,000009.tdms,8,80.0
12.890625,773.4375,0.22351929545402527,3.3625246325139555,5.956791029622018,0.0032565899713779697,0.0030991291977399225,0.002643031475693117,0.0030448006551698653,0.0029054563656149457,0.0026816743813665926,0.0033755076232043517,0.03710187355405829,0.003069307035181123,0.003267173121995678,0.0032669860313796666,0.003169340343747466,0.03710187355405829,0.002968304837239046,000010.tdms,9,90.0
12.890625,773.4375,0.21772818267345428,3.402151876636435,6.484010700892879,0.0031634957105918593,0.003055524444341591,0.0027080433216062263,0.003187110070265662,0.0030173091518899712,0.003055524444341591,0.0031424212810506652,0.03726636200176615,0.0030449164536143864,0.0030293581686085796,0.003267173555788738,0.0032989087184081066,0.03726636200176615,0.0029759273048475085,000011.tdms,10,100.0
12.890625,773.4375,0.20980331301689148,3.4170507307833318,6.092116131765095,0.0031655129378306258,0.002945462797796759,0.00281834506741273,0.003029869794765519,0.003193474149058215,0.002945462797796759,0.0031158511064680668,0.036775558289692326,0.0029084817675506416,0.0030355047036109022,0.003285586842454163,0.003221404744940152,0.036775558289692326,0.003020681272062217,000012.tdms,11,110.0
12.890625,773.4375,0.20908312499523163,3.3565427310253373,5.972228293951586,0.002905613929124516,0.0027641238649179565,0.002425225355345293,0.002840743432345665,0.002904572508798649,0.0027641238649179565,0.0032447608112452695,0.036190181501646636,0.002921790097875182,0.0031501160192567265,0.003336335609635977,0.003328779543528563,0.036190181501646636,0.0029234666286820665,000013.tdms,12,120.0
12.890625,773.4375,0.20875367522239685,3.420321841924029,6.361490166977153,0.003035870802687699,0.0029132763320054134,0.0026118521861235974,0.003157429169305731,0.0031787559228548513,0.0028903018096322307,0.003030189394549141,0.03775820128905686,0.0030376634861520005,0.003282120842130619,0.00331958760665663,0.0032164685505514357,0.03775820128905686,0.0030276073992576355,000014.tdms,13,130.0
12.890625,773.4375,0.20720809698104858,3.471330555967343,7.239212110316062,0.003069350404274309,0.003053904615614759,0.002813063758611598,0.003186541451186321,0.002900474952853211,0.003053904615614759,0.003348401504785062,0.03658840832402663,0.002949410334327306,0.0032331501313278316,0.0030611094143133282,0.0033885775910930385,0.03658840832402663,0.003282882683345266,000015.tdms,14,140.0
16.796875,1007.8125,0.29403239488601685,3.3123202253147217,6.562654101067394,0.0029782109519018323,0.0027937999957155647,0.0023853865045819493,0.0031132537380376144,0.0028669189465471267,0.0027937999957155647,0.0033129566442820315,0.0030120619335175184,0.002888205818419507,0.0032107488762785985,0.003326182296017738,0.003107075037496662,0.0030598121275911706,0.0030278609049043496,000016.tdms,15,150.0
