test_bearing,obs_idx,rul_true,rul_pred,score
1,10,37.0,15.313813209533691,0.44373605509120695
1,11,37.0,15.297443389892578,0.44346397975904783
1,12,37.0,15.27256965637207,0.4430508840304009
1,13,37.0,15.271318435668945,0.4430301142893463
1,14,37.0,15.278672218322754,0.4431521979664519
1,15,37.0,15.279362678527832,0.44316366235537386
1,16,37.0,15.371750831604004,0.44470035156769555
1,17,37.0,15.321915626525879,0.44387078343270847
1,18,37.0,15.271200180053711,0.44302815134588797
1,19,37.0,15.233522415161133,0.4424031748571349
1,20,37.0,15.198613166809082,0.4418249077670852
1,21,37.0,15.18803596496582,0.44164984706437954
1,22,37.0,15.124650001525879,0.4406022137264954
1,23,37.0,15.137706756591797,0.44081781032172823
1,24,37.0,15.163996696472168,0.44125223688206183
1,25,37.0,15.182093620300293,0.44155152719128793
1,26,37.0,15.212621688842773,0.44205686623053986
1,27,37.0,15.243874549865723,0.44257480205396554
1,28,37.0,15.266030311584473,0.4429423443911964
1,29,37.0,15.277000427246094,0.44312444080563396
1,30,37.0,15.267377853393555,0.4429647086312233
1,31,37.0,15.252299308776855,0.44271452458471
1,32,37.0,15.223366737365723,0.4422348693766771
1,33,37.0,15.194769859313965,0.4417612900921931
1,34,37.0,15.176660537719727,0.4414616525381043
1,35,37.0,15.128861427307129,0.44067174238070805
1,36,37.0,15.139723777770996,0.4408511253153541
1,37,37.0,15.132280349731445,0.4407281952471578
1,38,37.0,15.147132873535156,0.44097352242884946
1,39,37.0,15.176734924316406,0.44146288292589225
1,40,37.0,15.211913108825684,0.4420451303681422
1,41,37.0,15.260784149169922,0.4428552881358382
1,42,37.0,15.283673286437988,0.4432352423181639
1,43,37.0,15.28416633605957,0.44324343040912184
1,44,37.0,15.267492294311523,0.4429666079817585
1,45,37.0,15.235090255737305,0.4424291636808622
1,46,37.0,15.208269119262695,0.44198478168181876
1,47,37.0,15.138407707214355,0.4408293875872626
1,48,37.0,15.112868309020996,0.44040776180477365
1,49,37.0,15.11584186553955,0.44045683101720773
1,50,37.0,15.15404224395752,0.4410876947783668
1,51,37.0,15.19845199584961,0.4418222397450741
1,52,37.0,15.245218276977539,0.4425970844777026
1,53,37.0,15.28259563446045,0.44321734624363723
1,54,37.0,15.300442695617676,0.4435138173707092
1,55,37.0,15.290216445922852,0.4433439170955121
1,56,37.0,15.27108383178711,0.443026220071296
1,57,37.0,15.232881546020508,0.44239255212786244
1,58,37.0,15.140517234802246,0.4408642314780514
1,59,37.0,15.072943687438965,0.43974946049154245
1,60,37.0,15.078718185424805,0.4398446130048519
1,61,37.0,15.12386703491211,0.4405892885262204
1,62,37.0,15.175433158874512,0.4414413516346845
1,63,37.0,15.21036148071289,0.44201943260279886
1,64,37.0,15.23655891418457,0.44245350982763587
1,65,37.0,15.307491302490234,0.4436309617686069
1,66,37.0,15.202963829040527,0.4418969346620486
1,67,37.0,15.107050895690918,0.44031177947451944
1,68,37.0,15.010231018066406,0.438717402246013
1,69,37.0,14.834757804870605,0.4358425034261401
1,70,37.0,14.686387062072754,0.4334263472277573
