test_bearing,obs_cycle,rul_true,rul_pred
1,10,116,32.557028158144234
1,11,115,30.48928558640599
1,12,114,29.249515245439813
1,13,113,30.373159365190094
1,14,112,37.43047688071811
1,15,111,35.89059442361261
1,16,110,37.038954550995484
1,17,109,40.58435263081041
1,18,108,30.53047008930875
1,19,107,29.362879874465296
1,20,106,17.77471858438777
1,21,105,9.837957647237648
1,22,104,9.295968416228716
1,23,103,30.449954886306646
1,24,102,33.69007849357971
1,25,101,32.660523558227936
1,26,100,31.18738906506702
1,27,99,27.225821877202193
1,28,98,27.2183800298004
1,29,97,25.8367285222701
1,30,96,24.72462045514495
1,31,95,24.772103304057666
1,32,94,25.200906394465765
1,33,93,27.43219818895147
1,34,92,25.72310412300684
1,35,91,25.87228995781514
1,36,90,20.382864535209272
1,37,89,19.772923205894063
1,38,88,17.075958152980377
1,39,87,17.106911201102548
1,40,86,17.058927101741464
1,41,85,17.058927101741464
1,42,84,17.058927101741464
1,43,83,19.733246091241764
1,44,82,19.84721214942224
1,45,81,19.73318250466916
1,46,80,19.752697288556988
1,47,79,20.170075487235234
1,48,78,17.607547109911113
1,49,77,17.607547109911113
1,50,76,17.588032326023285
1,51,75,17.67571600079764
1,52,74,17.213976472917043
1,53,73,17.15910239388494
1,54,72,17.15910239388494
1,55,71,17.15910239388494
1,56,70,17.258337802119396
1,57,69,17.61981839664062
1,58,68,17.617700793102703
1,59,67,17.65884523501096
1,60,66,18.721345119241928
1,61,65,19.0666659364567
1,62,64,18.821359665977344
1,63,63,15.518942420675993
1,64,62,14.236033328256033
1,65,61,11.702525255006602
1,66,60,9.904911132047369
1,67,59,9.516495508164883
1,68,58,8.27100345851501
1,69,57,5.165533589085436
1,70,56,8.675200069542885
1,71,55,8.259488341180777
1,72,54,6.7755233611603956
1,73,53,7.122495990292362
1,74,52,7.122495990292362
1,75,51,5.188376171473903
1,76,50,3.6955723707124055
1,77,49,3.536959129922555
1,78,48,0.05578402018508153
1,79,47,0.0
1,80,46,7.400111599790881
1,81,45,9.350822780279096
1,82,44,7.4789342628264865
1,83,43,7.4789342628264865
1,84,42,5.183716067508765
1,85,41,9.592915869677427
1,86,40,6.033413844834579
1,87,39,0.0
1,88,38,0.03674854207906979
1,89,37,0.6803961992155526
1,90,36,3.785866068645129
1,91,35,3.785866068645129
1,92,34,3.785866068645129
1,93,33,0.6803961992155526
1,94,32,0.6803961992155526
1,95,31,0.07900909224474648
1,96,30,0.07900909224474648
1,97,29,0.07900909224474648
1,98,28,0.23938288228615148
1,99,27,0.6803961992155526
1,100,26,0.6803961992155526
1,101,25,3.785866068645129
1,102,24,3.9287736465349687
1,103,23,3.9287736465349687
1,104,22,3.9444793094349784
1,105,21,3.9444793094349784
1,106,20,3.9444793094349784
1,107,19,32.91719673048171
1,108,18,32.91719673048171
1,109,17,32.9014910675817
1,110,16,30.274237791619242
1,111,15,30.52160507093248
1,112,14,42.800630862472104
1,113,13,49.83906580824208
1,114,12,7.968323066697186
1,115,11,6.991921001036404
1,116,10,7.142869050747992
1,117,9,6.195137383937225
1,118,8,6.9157595903460445
1,119,7,6.135618036837962
1,120,6,0.09345552308568075
1,121,5,0.9441354525238155
1,122,4,1.3527860127932445
1,123,3,1.4380804009341943
1,124,2,1.3395208642334722
1,125,1,10.850162295501871
2,10,104,30.330051022642987
2,11,103,30.49563487432341
2,12,102,41.46956070509855
2,13,101,41.19378534882298
2,14,100,41.00235893038557
2,15,99,27.802586345831127
2,16,98,25.15161634498646
2,17,97,24.32726384680758
2,18,96,25.517168383414404
2,19,95,24.358861016191497
2,20,94,32.27132259871587
2,21,93,31.022644805105354
2,22,92,8.647002445047
2,23,91,16.59621306403488
2,24,90,16.520278431594253
2,25,89,14.493755769756072
2,26,88,13.575657152387983
2,27,87,28.211355654120037
2,28,86,25.423552079012
2,29,85,23.10162037986434
2,30,84,27.031726561790393
2,31,83,31.432665373637903
2,32,82,37.54434607718444
2,33,81,35.62645736609981
2,34,80,36.64350815522928
2,35,79,35.30772121116477
2,36,78,34.52492967729392
2,37,77,35.07416602115454
2,38,76,35.060114011212306
2,39,75,35.63803041996465
2,40,74,36.248927860365946
2,41,73,36.03653636160724
2,42,72,36.03653636160724
2,43,71,36.03653636160724
2,44,70,36.304429879679425
2,45,69,36.35473240611484
2,46,68,36.138564871832905
2,47,67,35.91046993657593
2,48,66,35.905923938036835
2,49,65,35.93772237934214
2,50,64,35.72278829636794
2,51,63,36.16915641201854
2,52,62,35.45904936302307
2,53,61,35.33046822424828
2,54,60,35.17884095349126
2,55,59,33.85654176557534
2,56,58,33.83775802994675
2,57,57,33.81132311838825
2,58,56,32.43794434829184
2,59,55,33.092744932226715
2,60,54,32.643654357249304
2,61,53,31.795822432433248
2,62,52,31.795822432433248
2,63,51,31.65302987707461
2,64,50,31.65760536195834
2,65,49,31.990168542382843
2,66,48,32.408767510960324
2,67,47,32.96070339272424
2,68,46,33.44032597311271
2,69,45,34.09384330917409
2,70,44,33.56660487314434
2,71,43,33.98093350088706
2,72,42,33.04875283549281
2,73,41,32.49793733031567
2,74,40,26.6625683343376
2,75,39,25.92446765690092
2,76,38,25.54546807725053
2,77,37,24.72897488775984
2,78,36,24.72897488775984
2,79,35,24.72897488775984
2,80,34,23.52964216767889
2,81,33,23.52964216767889
2,82,32,23.52964216767889
2,83,31,23.52964216767889
2,84,30,24.620618508340495
2,85,29,23.755866444208788
2,86,28,19.367811018868863
2,87,27,12.517141595642423
2,88,26,1.945087023743481
2,89,25,1.9315934303199698
2,90,24,1.7918926384273928
2,91,23,2.725995631326144
2,92,22,1.7665698879115286
2,93,21,0.0
2,94,20,11.574042052194915
2,95,19,13.001220279803626
2,96,18,12.71944914359092
2,97,17,10.486044614722696
2,98,16,9.2918280381679
2,99,15,9.2918280381679
2,100,14,8.457839164976626
2,101,13,8.457839164976626
2,102,12,8.189182776307598
2,103,11,6.531792705053166
2,104,10,6.015905366789885
2,105,9,5.5251808568643135
2,106,8,1.3595325190675922
2,107,7,21.654929720885704
2,108,6,49.79502684721369
2,109,5,34.202938196627166
2,110,4,1.2946676515222861
2,111,3,0.7956786650822306
2,112,2,0.8585319490770856
2,113,1,0.8585319490770856
3,10,79,10.933920197694398
3,11,78,10.93043346822347
3,12,77,10.93043346822347
3,13,76,10.933920197694398
3,14,75,11.095947721404874
3,15,74,10.890873980357883
3,16,73,10.963284687543338
3,17,72,10.984918942853165
3,18,71,11.223225252835583
3,19,70,12.259674205577406
3,20,69,11.223225252835583
3,21,68,11.18713010240565
3,22,67,10.9356299209832
3,23,66,11.026799724164736
3,24,65,11.18713010240565
3,25,64,11.416879189377532
3,26,63,12.32558822183746
3,27,62,12.348210694053785
3,28,61,12.287600652964514
3,29,60,12.287600652964514
3,30,59,12.27025087859733
3,31,58,12.06251630185439
3,32,57,11.190898783903792
3,33,56,10.778987148133186
3,34,55,10.832636536577207
3,35,54,10.847149997373053
3,36,53,10.930060192845191
3,37,52,10.930060192845191
3,38,51,11.205589341807283
3,39,50,11.104105047622562
3,40,49,10.878712701483185
3,41,48,10.878712701483185
3,42,47,10.878712701483185
3,43,46,11.091751731954224
3,44,45,11.104105047622562
3,45,44,10.930060192845191
3,46,43,10.930060192845191
3,47,42,11.205589341807283
3,48,41,11.104105047622562
3,49,40,10.509533790277354
3,50,39,10.104503381195121
3,51,38,10.174069951840956
3,52,37,10.221029961457756
3,53,36,10.919130851086821
3,54,35,10.782020042733453
3,55,34,10.877937511293451
3,56,33,10.847149997373053
3,57,32,10.930060192845191
3,58,31,10.976979023709447
3,59,30,10.976979023709447
3,60,29,10.966244339715406
3,61,28,10.847149997373053
3,62,27,10.242501197687185
3,63,26,10.241287315494835
3,64,25,10.410955792624007
3,65,24,11.399737813358495
3,66,23,11.399737813358495
3,67,22,11.49282075168356
3,68,21,11.46723386392099
3,69,20,11.46723386392099
3,70,19,11.427936792750847
3,71,18,11.35341032880656
3,72,17,11.024651850789118
3,73,16,10.707023485552568
3,74,15,10.623612735752499
3,75,14,10.207250234071063
3,76,13,9.551570528138715
