bearing_id,file_idx,time_hr,shaft_hz,rpm_est,E_BPFO,E_BPFI,E_BSF,E_total
4,1,0.0,12.98828125,779.296875,0.0002477434980322664,0.0010857970198421105,0.00042674465395243426,0.0013335405178743769
4,2,0.16666666666666666,12.890625,773.4375,0.000271662676594736,0.000256793837858106,0.00042695591492633377,0.0005284565144528419
4,3,0.3333333333333333,12.890625,773.4375,0.0002862142496169595,0.0003143800424174869,0.0005467027162127661,0.0006005942920344464
4,4,0.5,13.28125,796.875,0.000404683036741689,0.0019021966045078974,0.0004636625348125623,0.0023068796412495864
4,5,0.6666666666666666,13.28125,796.875,0.0004248448676231211,0.0019031145589447607,0.0005093960456970055,0.002327959426567882
4,6,0.8333333333333334,13.28125,796.875,0.0005129681400609467,0.00186023810465849,0.0005141641873080972,0.0023732062447194367
4,7,1.0,13.28125,796.875,0.0005321204190849387,0.0018861506635152107,0.0006235860501655036,0.0024182710826001494
4,8,1.1666666666666667,13.28125,796.875,0.0005104876224845179,0.0018046559965529533,0.000740460096423357,0.002315143619037471
4,9,1.3333333333333333,13.28125,796.875,0.0005010375055807836,0.0019713087036867813,0.0006852005953951585,0.002472346209267565
4,10,1.5,12.98828125,779.296875,0.0003659501624102158,0.0011643333955374052,0.0006626346577039108,0.001530283557947621
4,11,1.6666666666666667,12.890625,773.4375,0.0003084046910686619,0.0003309760705292443,0.0005767739519599364,0.0006393807615979062
4,12,1.8333333333333333,12.890625,773.4375,0.0003371120475775811,0.00032353826882617676,0.0005753339116175676,0.0006606503164037578
4,13,2.0,12.98828125,779.296875,0.00027812597748454935,0.0010549594461482493,0.0004749006087032811,0.0013330854236327987
4,14,2.1666666666666665,12.98828125,779.296875,0.0003317446340363311,0.0007429360549861871,0.0006500752375944443,0.0010746806890225182
4,15,2.3333333333333335,12.98828125,779.296875,0.0003875509679538994,0.0007210008957992623,0.0008283060603808608,0.0011085518637531616
4,16,2.5,13.28125,796.875,0.0006479775596147073,0.0012887370321525951,0.0009695579329800433,0.0019367145917673024
4,17,2.6666666666666665,13.28125,796.875,0.0005727434412321126,0.002089412744521561,0.0008720239803789759,0.0026621561857536735
4,18,2.8333333333333335,13.28125,796.875,0.0006377193634341386,0.00202114273024883,0.0009035910865193414,0.002658862093682968
4,19,3.0,13.28125,796.875,0.0003941345281170357,0.0018755002084391917,0.0004831263648677137,0.0022696347365562274
4,20,3.1666666666666665,13.28125,796.875,0.00044703957803612335,0.0019750077141781636,0.0005073038997495916,0.002422047292214287
4,21,3.3333333333333335,13.28125,796.875,0.00047869959592899367,0.0019421874969723241,0.0005779093417996176,0.0024208870929013178
4,22,3.5,12.98828125,779.296875,0.00027434777747771554,0.0008697632550338447,0.0004996319724858162,0.0011441110325115602
4,23,3.6666666666666665,12.98828125,779.296875,0.0003900729868820024,0.0011238939257311234,0.0007277599468698292,0.0015139669126131257
4,24,3.8333333333333335,12.890625,773.4375,0.00041740770859804754,0.000402215952352318,0.0008323769691909996,0.0008196236609503655
4,25,4.0,12.890625,773.4375,0.0003683467404726645,0.0003475459722172734,0.0007150998609141313,0.000715892712689938
4,26,4.166666666666667,12.98828125,779.296875,0.00041340835542564723,0.001072872131786929,0.0007505808879506915,0.0014862804872125763
4,27,4.333333333333333,12.98828125,779.296875,0.00043608978160211177,0.0011402144800759125,0.0007429198754703999,0.0015763042616780242
4,28,4.5,13.28125,796.875,0.0006184728615400198,0.0018512136526937961,0.0007672708268046896,0.0024696865142338157
4,29,4.666666666666667,13.28125,796.875,0.000563664202858462,0.0018893017587835977,0.0006913350322684357,0.00245296596164206
4,30,4.833333333333333,13.28125,796.875,0.0005983241584541601,0.001918591279397714,0.00077300724210036,0.0025169154378518743
4,31,5.0,13.28125,796.875,0.0006392947008684151,0.002013304040724581,0.0008699117582259064,0.002652598741592996
4,32,5.166666666666667,13.28125,796.875,0.0005403513811035585,0.0019385998064516238,0.0007544607922747163,0.0024789511875551824
4,33,5.333333333333333,13.28125,796.875,0.0007029603118433829,0.0020154434290082356,0.0009583441496228962,0.0027184037408516186
4,34,5.5,12.98828125,779.296875,0.00047127105138149237,0.0011690905172779503,0.000977736575966413,0.0016403615686594428
4,35,5.666666666666667,12.98828125,779.296875,0.0004669163660209631,0.0012510875207802621,0.0010095376313899872,0.0017180038868012252
4,36,5.833333333333333,12.98828125,779.296875,0.000552682595919753,0.0011948369603844045,0.0012047222091730655,0.0017475195563041576
4,37,6.0,12.98828125,779.296875,0.0005483363671173812,0.0011226024163975444,0.0012455519368423209,0.0016709387835149255
