file,dei_cnn
1,0.3317554
2,0.32762876
3,0.33612996
4,0.34534705
5,0.34726566
6,0.35106185
7,0.36138254
8,0.35164446
9,0.34231362
10,0.34514186
11,0.34251264
12,0.33732042
13,0.32534888
14,0.34458625
15,0.335928
16,0.36733747
17,0.3312965
18,0.34846312
19,0.36045927
20,0.351062
21,0.34583116
22,0.33547956
23,0.3294384
24,0.33250183
25,0.32838848
26,0.31799406
27,0.33855444
28,0.35570735
29,0.34564236
30,0.3528604
31,0.36325812
32,0.33710733
33,0.3466791
34,0.34035933
35,0.33351845
36,0.33719307
37,0.33068576
38,0.34052646
39,0.3372914
40,0.3469429
41,0.36429965
42,0.36622575
43,0.35239238
44,0.3354546
45,0.3566956
46,0.34601098
47,0.35190377
48,0.33643782
49,0.33952284
50,0.32780567
51,0.33654895
52,0.34626913
53,0.34160656
54,0.34656
55,0.3434276
56,0.37381953
57,0.36649892
58,0.33728898
59,0.33261794
60,0.3282234
61,0.34536535
62,0.34312707
63,0.34071258
64,0.3349939
65,0.35406804
66,0.34751138
67,0.35871106
68,0.3597931
69,0.341956
70,0.36160266
71,0.3525177
72,0.333802
73,0.35395676
74,0.34307095
75,0.3335166
76,0.34314054
77,0.36998743
78,0.3691811
79,0.35952383
80,0.36147058
81,0.37957984
82,0.36282116
83,0.34251234
84,0.33696908
85,0.3421811
86,0.33534715
87,0.33676308
88,0.36020094
89,0.35368356
90,0.36262602
91,0.35346472
92,0.3644066
93,0.36693168
94,0.3500847
95,0.34964433
96,0.33152324
97,0.33750567
98,0.33589858
99,0.3600825
100,0.3466346
101,0.33040738
102,0.35792774
103,0.36327034
104,0.34667477
105,0.3564565
106,0.3635412
107,0.35967046
108,0.32285756
109,0.33477473
110,0.34118634
111,0.34209815
112,0.34291694
113,0.32937258
114,0.35548955
115,0.36652476
116,0.36868727
117,0.35389507
118,0.36292148
119,0.3466379
120,0.3403439
121,0.33434743
122,0.33700493
123,0.32872117
124,0.34068984
125,0.33405474
126,0.37905392
127,0.3526209
128,0.35894772
129,0.35726827
130,0.35953936
131,0.36300004
132,0.33965284
133,0.34214234
134,0.3451329
135,0.33579513
136,0.32325956
137,0.31914607
