file,dei_cnn
1,0.30886185
2,0.3101737
3,0.31460056
4,0.3333586
5,0.33759278
6,0.3265221
7,0.35206625
8,0.33962828
9,0.3382739
10,0.3209036
11,0.33477926
12,0.29965743
13,0.32232246
14,0.31560218
15,0.32611856
16,0.30669266
17,0.3328875
18,0.33312318
19,0.32599947
20,0.33170348
21,0.3294631
22,0.3463739
23,0.32148153
24,0.31537583
25,0.33004448
26,0.31319976
27,0.31507233
28,0.3298348
29,0.33934432
30,0.31817847
31,0.3314813
32,0.33873206
33,0.33893412
34,0.33102903
35,0.31336337
36,0.32473558
37,0.32389888
38,0.32433572
39,0.31436864
40,0.32003796
41,0.35855666
42,0.33929306
43,0.34032494
44,0.33660537
45,0.33222103
46,0.33732754
47,0.32191783
48,0.32397225
49,0.32486242
50,0.31232315
51,0.31717393
52,0.31644255
53,0.33917677
54,0.34876642
55,0.3466294
56,0.34431097
57,0.35462627
58,0.33298248
59,0.32858163
60,0.31956574
61,0.31929347
62,0.3204508
63,0.30849946
64,0.3208056
65,0.34169334
66,0.3288676
67,0.3448959
68,0.34098482
69,0.32160878
70,0.34748417
71,0.33490795
72,0.3234064
73,0.30960017
74,0.32150453
75,0.33046645
76,0.3051852
77,0.32376462
78,0.36022663
79,0.36372736
80,0.34820077
81,0.34786746
82,0.37868264
83,0.40126476
84,0.3879426
85,0.37971526
86,0.366209
87,0.36362106
88,0.3445714
89,0.36450204
