bearing,file,rpm,dei_raw,dei_corrected,dei_norm
3,1,725.0,0.0044967680108127525,0.007202961908300457,0.34964700549239036
3,2,726.0,0.004928054612520982,0.005933137352883559,0.2559400517181723
3,3,728.0,0.005734265286389994,0.004945741678459698,0.1830749929780519
3,4,768.0,0.004127154955630527,0.004240774885028875,0.1310518292720292
3,5,961.0,0.004123212627926126,0.0038182369725910893,0.0998705606001041
3,6,959.0,0.00424077581659389,0.003678127941146341,0.08953118696227663
3,7,960.0,0.004430125246292743,0.0038204477906946255,0.10003370835854641
3,8,963.0,0.003910021074505668,0.004309351559776126,0.13611245852440687
3,9,960.0,0.0037291154747592188,0.004929945827412596,0.1819093350313844
3,10,964.0,0.010344449174810559,0.0064692071057321845,0.2954994249683221
3,11,726.0,0.008086554687219086,0.008127611753335207,0.41788172336454715
3,12,722.0,0.007146481404820598,0.009052872629236623,0.4861615323801483
3,13,719.0,0.006555797564889161,0.009356079622980256,0.5085367523469932
3,14,721.0,0.006781844344138616,0.009083693131564104,0.4884359374344365
3,15,724.0,0.008828999785632079,0.008196268028839455,0.42294822677050337
3,16,726.0,0.005875694106659318,0.006674944004725028,0.31068182004906914
3,17,962.5,0.0038186221023788127,0.004767624996123862,0.1699308372386935
3,18,958.0,0.00357136867104027,0.003910916281072491,0.10670984846758587
3,19,963.0,0.003916138964687143,0.003418575240660541,0.07037744418525878
3,20,964.0,0.004098290557245383,0.0034531947090124075,0.0729321946873636
3,21,965.0,0.0038734084891138654,0.0038396890365742196,0.10145361989711761
3,22,961.5,0.0038858377769306427,0.005256787953375134,0.20602871424671493
3,23,722.0,0.00790457180421461,0.007260996620087791,0.3539296885067932
3,24,727.0,0.006874527479211627,0.00834364814168527,0.4338241712958852
3,25,720.0,0.007288529348196225,0.008842214970028787,0.47061600882780785
3,26,725.0,0.006611015630792492,0.008795967570349898,0.4672031728376701
3,27,725.0,0.007637312320378702,0.008196009925285441,0.42292917996777635
3,28,724.0,0.007064561196692014,0.007050776279728617,0.3384164369852316
3,29,962.0,0.003737855229835235,0.004864041416743715,0.17704590603426731
3,30,968.0,0.0036741560805939166,0.003761402327647597,0.09567643675537707
3,31,974.0,0.003583400473566856,0.0031340745120594466,0.04938265674787031
3,32,977.0,0.00352024471716196,0.003142870269510919,0.050031741405588054
3,33,981.0,0.0036928702849420444,0.003399257855562995,0.06895191393806632
3,34,977.0,0.0032188275044838467,0.004457750358665916,0.14706357718752766
3,35,732.0,0.006603794390069116,0.0066851140320729465,0.31143231922512354
3,36,725.0,0.0071753992713780015,0.00787151905151878,0.3989833118724589
3,37,723.0,0.006681738423052903,0.0085020705314106,0.4455149828237177
3,38,725.0,0.0064703877380491385,0.008561865202272893,0.449927542365534
3,39,723.0,0.0077005137304576,0.008059698914330211,0.41287008200183334
3,40,727.0,0.007808485543094901,0.007068098124963479,0.3396947059742688
3,41,961.0,0.003295552366024149,0.005022469836484966,0.1887371625483152
3,42,963.0,0.003328410497140776,0.0037988563567306665,0.0984403642262812
3,43,961.0,0.0033538446117661108,0.002971862825264066,0.0374122132946153
3,44,960.0,0.0035626155412198934,0.0030435486222117622,0.04270228083362295
3,45,956.0,0.0037848882798243166,0.003762294794458719,0.0957422965199076
3,46,956.0,0.0033725852925357404,0.0052695730498454624,0.2069721929649625
3,47,723.0,0.006456858637307238,0.0075758618620875035,0.3771652312054365
3,48,719.0,0.007125540298613808,0.008693652657238194,0.45965282362409404
3,49,706.0,0.009324851459114398,0.009212818224524714,0.49796474916321815
3,50,716.0,0.008060026190836393,0.009137675497805326,0.4924195768091912
3,51,715.0,0.006807560703893482,0.008532286622586352,0.4477447852377324
3,52,719.0,0.005654285380654997,0.007355986192270839,0.3609394627402639
3,53,955.0,0.0035650999802726607,0.005250722516807238,0.20558111415766037
3,54,952.0,0.0036433052506430674,0.0036752365809782136,0.0893178184678153
3,55,956.0,0.003805522218727042,0.0025648892742033565,0.007379519743454079
3,56,952.0,0.003954228647340812,0.0027771142875435443,0.02304070650344129
3,57,959.5,0.0035989771154078224,0.003630149009901312,0.08599057225835145
3,58,948.0,0.003644352404478368,0.004806522894184441,0.17280131530586254
3,59,936.0,0.008732972823583391,0.006683297916085903,0.3112982985872956
3,60,721.5,0.006879540471585746,0.007972376525710182,0.40642610909316257
3,61,710.0,0.007984737251968896,0.008721035255874773,0.46167352789675115
3,62,715.0,0.00722221913415266,0.008908688619865105,0.4755214449416735
3,63,716.0,0.0065651072482837474,0.00857645658131969,0.45100431606313457
3,64,715.0,0.007287086808726238,0.0076202595492296955,0.3804415672937315
3,65,713.0,0.0036894311230937335,0.005987494665691649,0.25995136034885635
3,66,939.0,0.0037977388144478496,0.004211986261776037,0.12892736713521738
3,67,939.5,0.003676867448227216,0.0033327735821330595,0.06404569385401222
3,68,944.0,0.003944728534774657,0.0034024523511414556,0.06918765236998257
3,69,951.0,0.0040276684081043835,0.004202942223250674,0.1282599605266327
3,70,946.0,0.0047377299447803264,0.005438625228046024,0.2194474318320121
3,71,952.0,0.007842489441306319,0.007170046896188907,0.34721803567505816
3,72,712.0,0.008975638217779589,0.008973958678023131,0.480338061770009
3,73,711.0,0.008783699477460213,0.010095167450171435,0.5630778844760321
3,74,713.0,0.008831627292859377,0.010469444683338068,0.5906977467928174
3,75,718.0,0.0076774392974266244,0.010493461522066285,0.5924700741485197
3,76,720.0,0.007163509125281862,0.009838351014188588,0.5441260648782428
3,77,715.0,0.007471772625390315,0.00858353169222784,0.45152642526947273
3,78,952.0,0.006941191585951662,0.004247609463064439,0.1315561883075454
3,79,955.0,0.0067416197406225805,0.00581433178084818,0.24717277107349794
3,80,956.0,0.00924629421662664,0.008221550953513866,0.42481398518857416
3,81,950.0,0.0073238000193663255,0.010692992255897645,0.6071944840458637
3,82,955.0,0.008349840923373483,0.012833667329943614,0.7651660237782862
3,83,951.0,0.009822243935511536,0.014858289939666465,0.9145734489932191
3,84,719.0,0.03487021325835045,0.015572026117022502,0.9672437511173824
3,85,723.0,0.013086561770678986,0.015915906613604595,0.9926204802565458
3,86,722.0,0.009420345589345635,0.01588993142941276,0.9907036364107107
3,87,718.0,0.009228682466720305,0.015494100564446998,0.9614932195798773
3,88,714.0,0.009977347003293105,0.014728414018707312,0.9049892297640457
3,89,715.0,0.009406131123629813,0.013592871792193699,0.8211916669632155
