file,dei_cnn
1,0.304338
2,0.2923311
3,0.30697876
4,0.3019964
5,0.29918504
6,0.3153216
7,0.31969947
8,0.31617817
9,0.30539906
10,0.28647965
11,0.30949005
12,0.28724927
13,0.29097766
14,0.3140254
15,0.30053502
16,0.3195017
17,0.29791528
18,0.3063468
19,0.34550577
20,0.3408857
21,0.34082228
22,0.3129112
23,0.31891462
24,0.30859914
25,0.30161813
26,0.29195976
27,0.31310582
28,0.3117996
29,0.29603243
30,0.30521306
31,0.30609694
32,0.30575576
33,0.2956341
34,0.3015823
35,0.30248278
36,0.31172767
37,0.294204
38,0.29880914
39,0.30691203
40,0.314719
41,0.30173954
42,0.29707736
43,0.29755157
44,0.31038502
45,0.30796403
46,0.29974923
47,0.29449746
48,0.31225955
49,0.3005485
50,0.30861458
51,0.3072202
52,0.2966228
53,0.30457464
54,0.30545798
55,0.30289155
56,0.312739
57,0.31693694
58,0.3116062
59,0.3026445
60,0.31140155
61,0.3074209
62,0.29540795
63,0.3005859
64,0.307806
65,0.30344015
66,0.31942484
67,0.30940408
68,0.31305665
69,0.310265
70,0.30543444
71,0.30086824
72,0.29921454
73,0.30544233
74,0.32253247
75,0.29927233
76,0.30015013
77,0.30347842
78,0.31855488
79,0.3161976
80,0.2988879
81,0.30323222
82,0.29367447
83,0.30288008
84,0.30804968
85,0.2890778
86,0.30600053
87,0.30889505
88,0.30828384
89,0.30520585
90,0.30940956
91,0.37272108
92,0.35940605
93,0.36174634
94,0.3711657
95,0.3732975
96,0.3394596
97,0.33366555
98,0.33569002
99,0.30604014
100,0.30835345
101,0.31124592
102,0.3032752
103,0.29774052
104,0.36595362
105,0.3618268
106,0.36802578
107,0.36761206
108,0.34436175
109,0.3555954
110,0.34291697
111,0.33433244
112,0.33348775
113,0.35115117
114,0.37615973
115,0.37930888
116,0.38191018
117,0.3912438
118,0.31297964
119,0.38859934
120,0.37297216
121,0.3664593
122,0.3620811
123,0.3846229
124,0.35837293
125,0.36661494
126,0.35966626
