bearing_id,file_idx,time_sec,SPE_raw,HI_SPE,HI_SPE_cm,FPT_sec
4,1,0,0.0016973538,0.0,0.0,12000
4,2,600,0.0061358693,8.969521e-09,8.969521e-09,12000
4,3,1200,0.011696897,3.971697e-08,3.971697e-08,12000
4,4,1800,0.0035099655,0.0,3.971697e-08,12000
4,5,2400,0.0026102185,0.0,3.971697e-08,12000
4,6,3000,0.0076659913,1.7429707e-08,3.971697e-08,12000
4,7,3600,0.0035444146,0.0,3.971697e-08,12000
4,8,4200,0.0027938567,0.0,3.971697e-08,12000
4,9,4800,0.005963815,8.018215e-09,3.971697e-08,12000
4,10,5400,0.0047287676,1.1895216e-09,3.971697e-08,12000
4,11,6000,0.0038340113,0.0,3.971697e-08,12000
4,12,6600,0.00718477,1.47689905e-08,3.971697e-08,12000
4,13,7200,0.009428413,2.7174302e-08,3.971697e-08,12000
4,14,7800,0.0012932312,0.0,3.971697e-08,12000
4,15,8400,0.0011402767,0.0,3.971697e-08,12000
4,16,9000,0.0010440643,0.0,3.971697e-08,12000
4,17,9600,0.0066251103,1.16745795e-08,3.971697e-08,12000
4,18,10200,0.0024661403,0.0,3.971697e-08,12000
4,19,10800,0.0029390086,0.0,3.971697e-08,12000
4,20,11400,0.0039704023,0.0,3.971697e-08,12000
4,21,12000,0.013800145,5.1346017e-08,5.1346017e-08,12000
4,22,12600,0.11994846,6.3825007e-07,6.3825007e-07,12000
4,23,13200,0.03831082,1.8686784e-07,6.3825007e-07,12000
4,24,13800,0.046988055,2.348451e-07,6.3825007e-07,12000
4,25,14400,0.044719327,2.223011e-07,6.3825007e-07,12000
4,26,15000,0.05700036,2.9020407e-07,6.3825007e-07,12000
4,27,15600,0.07499994,3.8972547e-07,6.3825007e-07,12000
4,28,16200,0.021036588,9.1356995e-08,6.3825007e-07,12000
4,29,16800,0.008583956,2.2505224e-08,6.3825007e-07,12000
4,30,17400,0.01469601,5.6299346e-08,6.3825007e-07,12000
4,31,18000,0.021399057,9.3361116e-08,6.3825007e-07,12000
4,32,18600,0.025508713,1.160838e-07,6.3825007e-07,12000
4,33,19200,0.029376887,1.3747129e-07,6.3825007e-07,12000
4,34,19800,0.13292086,7.099757e-07,7.099757e-07,12000
4,35,20400,0.0972467,5.1272986e-07,7.099757e-07,12000
4,36,21000,0.21354249,1.1557403e-06,1.1557403e-06,12000
4,37,21600,0.18288828,9.862503e-07,1.1557403e-06,12000
4,38,22200,0.052684512,2.6634135e-07,1.1557403e-06,12000
4,39,22800,0.03464082,1.6657607e-07,1.1557403e-06,12000
4,40,23400,0.08931708,4.6888627e-07,1.1557403e-06,12000
4,41,24000,0.040047005,1.9646738e-07,1.1557403e-06,12000
4,42,24600,0.24214321,1.3138763e-06,1.3138763e-06,12000
4,43,25200,0.09299399,4.8921623e-07,1.3138763e-06,12000
4,44,25800,0.21929096,1.187524e-06,1.3138763e-06,12000
4,45,26400,0.050904896,2.5650166e-07,1.3138763e-06,12000
4,46,27000,0.0795031,4.1462383e-07,1.3138763e-06,12000
4,47,27600,0.13392967,7.155535e-07,1.3138763e-06,12000
4,48,28200,0.04644517,2.3184343e-07,1.3138763e-06,12000
4,49,28800,0.07769103,4.0460475e-07,1.3138763e-06,12000
4,50,29400,0.09587849,5.051649e-07,1.3138763e-06,12000
4,51,30000,0.10233845,5.4088264e-07,1.3138763e-06,12000
4,52,30600,0.17553663,9.4560227e-07,1.3138763e-06,12000
4,53,31200,0.05298117,2.679816e-07,1.3138763e-06,12000
4,54,31800,0.044780184,2.2263757e-07,1.3138763e-06,12000
4,55,32400,0.042752583,2.1142677e-07,1.3138763e-06,12000
4,56,33000,0.05681001,2.8915161e-07,1.3138763e-06,12000
4,57,33600,0.06529194,3.36049e-07,1.3138763e-06,12000
4,58,34200,0.042256687,2.0868491e-07,1.3138763e-06,12000
4,59,34800,0.1611027,8.657957e-07,1.3138763e-06,12000
4,60,35400,0.15092137,8.095022e-07,1.3138763e-06,12000
4,61,36000,0.105582654,5.5882015e-07,1.3138763e-06,12000
4,62,36600,0.08388792,4.3886791e-07,1.3138763e-06,12000
4,63,37200,0.10342159,5.4687143e-07,1.3138763e-06,12000
4,64,37800,953.0859,0.0052696764,0.0052696764,12000
4,65,38400,0.06592407,3.3954413e-07,0.0052696764,12000
4,66,39000,0.07695931,4.0055897e-07,0.0052696764,12000
4,67,39600,0.07817764,4.0729523e-07,0.0052696764,12000
4,68,40200,0.057601947,2.935303e-07,0.0052696764,12000
4,69,40800,0.2394939,1.2992281e-06,0.0052696764,12000
4,70,41400,0.27527747,1.4970786e-06,0.0052696764,12000
4,71,42000,0.30220354,1.6459554e-06,0.0052696764,12000
4,72,42600,0.36525187,1.9945558e-06,0.0052696764,12000
4,73,43200,0.859706,4.728439e-06,0.0052696764,12000
4,74,43800,4.21949,2.3305001e-05,0.0052696764,12000
4,75,44400,0.7464391,4.102176e-06,0.0052696764,12000
4,76,45000,84.54499,0.00046743226,0.0052696764,12000
4,77,45600,52.331184,0.00028931908,0.0052696764,12000
4,78,46200,23.155941,0.00012800642,0.0052696764,12000
4,79,46800,23.12045,0.00012781017,0.0052696764,12000
4,80,47400,31.142797,0.0001721665,0.0052696764,12000
4,81,48000,40.718216,0.00022510989,0.0052696764,12000
4,82,48600,489.13763,0.002704463,0.0052696764,12000
4,83,49200,0.8588279,4.7235835e-06,0.0052696764,12000
4,84,49800,0.35933813,1.961858e-06,0.0052696764,12000
4,85,50400,0.9089193,5.0005438e-06,0.0052696764,12000
4,86,51000,1.4479055,7.98065e-06,0.0052696764,12000
4,87,51600,1.3084862,7.2097873e-06,0.0052696764,12000
4,88,52200,2.118123,1.1686345e-05,0.0052696764,12000
4,89,52800,487.9554,0.0026979265,0.0052696764,12000
4,90,53400,15.030302,8.3078994e-05,0.0052696764,12000
4,91,54000,150.18445,0.000830359,0.0052696764,12000
4,92,54600,121.441246,0.0006714351,0.0052696764,12000
4,93,55200,7.829798,4.3266733e-05,0.0052696764,12000
4,94,55800,539.6732,0.0029838788,0.0052696764,12000
4,95,56400,317.17114,0.0017536442,0.0052696764,12000
4,96,57000,1.9575999,1.0798797e-05,0.0052696764,12000
4,97,57600,2.5427377,1.403408e-05,0.0052696764,12000
4,98,58200,2.023397,1.1162596e-05,0.0052696764,12000
