HI,regime
0.0,0
0.0,0
0.0,0
5.2320877273267145e-06,0
2.2955177563551583e-05,1
4.260511056556682e-05,1
6.73762384376639e-05,1
0.000695193480231338,1
0.0012852988262877629,1
0.0018218046495941062,1
0.00231056246881416,0
0.0027524455957880656,0
0.0031464412579151673,0
0.0031487738864059496,0
0.0025453500253388665,0
0.0022282062121606475,0
0.0019566443413313464,1
0.0017750975132165279,1
0.0016566089417240286,1
0.003730331000366826,1
0.00813581650843055,1
0.01361992875441197,1
0.019107023915733056,0
0.024902997703599678,0
0.030629549603618862,0
0.03064938267990263,0
0.028558724988066133,0
0.024556336693411774,0
0.019533524994839024,1
0.014300249142105259,1
0.008789806496510847,1
0.008759863558750036,1
0.014923974815974766,1
0.021045893195842547,1
0.027147508578918567,0
0.03314802212344474,0
0.038823741423121345,0
0.03881985705620981,0
0.03337759270192104,0
0.027435080915831894,0
0.021555996619854845,1
0.015743538243233702,1
0.010028460717917345,1
0.010262218234388915,1
0.015969721204616698,1
0.02155271584343233,1
0.027320918323153177,0
0.03357820229821836,0
0.0400165647997239,0
0.04017073620789321,0
0.034643592772518626,0
0.029387232913219888,0
0.024373789314933236,1
0.019159081612741588,1
0.013599205412308768,1
0.00800097824730708,1
0.014247281421298637,1
0.020209602462364862,1
0.02587657845897611,1
0.031098375909881442,0
0.03639902893772064,0
0.04132639242459334,0
0.0415745097945667,0
0.03623004206532847,0
0.03113726984947754,0
0.026273308084111213,1
0.023124209449966075,1
0.021089235415342234,1
0.02102219001872795,1
0.02520988544443095,1
0.029154516888575364,1
0.033623330861124116,0
0.03854744736709013,0
0.042563759320044255,0
0.04250085035567038,0
0.04048221944897282,0
0.03865789171914889,0
0.03710306119876527,1
0.03536510811899342,1
0.033867506767886094,1
0.034364250422333105,1
0.03841080633410569,1
0.04325400891943175,1
0.049238465823643586,0
0.056316318702226406,0
0.06403540000154138,0
0.07666037619912502,0
0.08635146247495251,0
0.09462460476366308,0
0.10226070841154024,1
0.10795876045672642,1
0.11708640414021461,1
0.13014925790196413,1
0.1373358108661729,1
0.14505783560153612,1
0.15628598556888296,0
0.17032851219881792,0
0.1874341855551915,0
0.19342218225883204,0
0.20419994680216105,0
0.2241812450072077,0
0.24180404577486017,1
0.2562109235462861,1
0.26883831691058585,1
0.2717269809283441,1
0.2838767914013972,1
0.2902418784579476,1
0.293517652728157,0
0.3043565284031069,0
0.3211609540171589,0
0.3453069729685797,0
0.3769330324493447,0
0.4058466751694296,0
0.43088624875113263,0
