idx,t_min,rul_norm_pred,rul_pred_sec,rul_true_sec,score
0,0.0,0.8648530840873718,61750.51020383835,52800.0,0.5557137361617532
1,10.0,0.8674694299697876,61937.317299842834,52200.0,0.5238794484788419
2,20.0,0.8710184693336487,62190.718710422516,51600.0,0.4909906875512463
3,30.0,0.870927631855011,62184.232914447784,51000.0,0.46765177775472055
4,40.0,0.8741577863693237,62414.865946769714,50400.0,0.43771053509797325
5,50.0,0.8748899102210999,62467.13958978653,49800.0,0.4141424050277344
6,60.0,0.8707851767539978,62174.06162023544,49200.0,0.40095098922217315
7,70.0,0.8657410144805908,61813.908433914185,48600.0,0.38972932613147754
8,80.0,0.857992947101593,61260.69642305374,48000.0,0.3838667365486527
9,90.0,0.8444243669509888,60291.8998003006,47400.0,0.3896079328688343
10,100.0,0.7884562611579895,56295.77704668045,46800.0,0.4949977612140633
11,110.0,0.750967800617218,53619.10096406937,46200.0,0.5731827094498854
12,120.0,0.6470043659210205,46196.111726760864,45600.0,0.9557047353807616
13,130.0,0.5596262812614441,39957.31648206711,45000.0,0.8561175064669455
14,140.0,0.40618541836738586,29001.63887143135,44400.0,0.6183005222732122
15,150.0,0.3834211826324463,27376.272439956665,43800.0,0.5946275047097216
16,160.0,0.410530149936676,29311.85270547867,43200.0,0.640393343828711
17,170.0,0.42734283208847046,30512.27821111679,42600.0,0.674785708826747
18,180.0,0.41405975818634033,29563.8667345047,42000.0,0.6633320679004917
19,190.0,0.4259358048439026,30411.816465854645,41400.0,0.6921563547517343
20,200.0,0.46239563822746277,33015.04856944084,40800.0,0.7675777161437825
21,210.0,0.4779953360557556,34128.86699438095,40200.0,0.8111010582746617
22,220.0,0.42914021015167236,30640.611004829407,39600.0,0.7307782526430311
23,230.0,0.42708250880241394,30493.691128492355,39000.0,0.739068008956296
24,240.0,0.3945890963077545,28173.661476373672,38400.0,0.6912973028079559
25,250.0,0.40666329860687256,29035.7595205307,37800.0,0.7251159293994006
26,260.0,0.3471510410308838,24786.584329605103,37200.0,0.6296456561141487
27,270.0,0.398759126663208,28471.40164375305,36600.0,0.7349990536275188
28,280.0,0.3726685047149658,26608.53123664856,36000.0,0.6965272665386553
29,290.0,0.4096764922142029,29250.901544094086,35400.0,0.7859956905243606
30,300.0,0.34216389060020447,24430.5017888546,34800.0,0.6616094869887228
31,310.0,0.33697035908699036,24059.68363881111,34200.0,0.6629624404728048
32,320.0,0.34314051270484924,24500.232607126236,33600.0,0.6869834167334323
33,330.0,0.35792574286460876,25555.898040533066,33000.0,0.7314556538511776
34,340.0,0.35008499026298523,24996.068304777145,32400.0,0.7284829840853748
35,350.0,0.33907073736190796,24209.65064764023,31800.0,0.7182806408732386
36,360.0,0.3272911310195923,23368.58675479889,31200.0,0.706120511654805
37,370.0,0.32818514108657837,23432.419073581696,30600.0,0.7227309881520578
38,380.0,0.31982895731925964,22835.78755259514,30000.0,0.7181642967236492
