idx,t_min,rul_norm_pred,rul_pred_sec,rul_true_sec,score
0,0.0,0.31538110971450806,22518.211233615875,82200.0,0.36548607638059943
1,10.0,0.3158343732357025,22550.57424902916,81600.0,0.366709654280666
2,20.0,0.3172549903392792,22652.006310224533,81000.0,0.3683907642271904
3,30.0,0.31796255707740784,22702.52657532692,80400.0,0.369780093552592
4,40.0,0.318407267332077,22734.2788875103,79800.0,0.3710746690557726
5,50.0,0.31807729601860046,22710.718935728073,79200.0,0.3720331293613161
6,60.0,0.31780683994293213,22691.408371925354,78600.0,0.3730367125607397
7,70.0,0.3176291584968567,22678.721916675568,78000.0,0.3741025461818442
8,80.0,0.3145523965358734,22459.04111266136,77400.0,0.3737996127671563
9,90.0,0.3112388849258423,22222.45638370514,76800.0,0.3733782516281222
10,100.0,0.30520543456077576,21791.66802763939,76200.0,0.37163538814060126
11,110.0,0.30314794182777405,21644.763046503067,75600.0,0.37180363469623556
12,120.0,0.29991021752357483,21413.589531183243,75000.0,0.3713957095584426
13,130.0,0.29895123839378357,21345.118421316147,74400.0,0.37210804986854235
14,140.0,0.2972753345966339,21225.45889019966,73800.0,0.3724750479733825
15,150.0,0.29688775539398193,21197.78573513031,73200.0,0.37349853093157004
16,160.0,0.2966878116130829,21183.509749174118,72600.0,0.3746376403991167
17,170.0,0.29589805006980896,21127.12077498436,72000.0,0.37549470421711034
18,180.0,0.29574671387672424,21116.31537079811,71400.0,0.3767014333203444
19,190.0,0.29455235600471497,21031.03821873665,70800.0,0.37738189730255406
20,200.0,0.2955704927444458,21103.73318195343,70200.0,0.37925653883959826
21,210.0,0.2940906584262848,20998.073011636734,69600.0,0.37982134866962775
22,220.0,0.2947610914707184,21045.941931009293,69000.0,0.381572023248968
23,230.0,0.293140172958374,20930.208349227905,68400.0,0.38209264603563803
24,240.0,0.2941230833530426,21000.388151407242,67800.0,0.384080460626554
25,250.0,0.29218584299087524,20862.069189548492,67200.0,0.38445720353787355
26,260.0,0.2926262617111206,20893.51508617401,66600.0,0.3862034307929822
27,270.0,0.29155033826828003,20816.694152355194,66000.0,0.38710823768684083
