id,HI,regime
1,0.0017853029197173,0
1,0.0144136236797111,0
1,0.027523706106573,0
1,0.0413371942683907,0
1,0.0558029164884206,1
1,0.0709502276752191,1
1,0.0849709658731933,1
1,0.0864600094131715,1
1,0.0780504043783211,1
1,0.0701880857261043,1
1,0.0623649016930129,0
1,0.0545276448215337,0
1,0.0482386413055982,0
1,0.0490351077414377,0
1,0.0613779330006171,0
1,0.0736265818396828,0
1,0.085626096257341,1
1,0.0977241120611485,1
1,0.1085211139329364,1
1,0.109207980811517,1
1,0.1045570392750755,1
1,0.0995623351909111,1
1,0.0941311729186303,0
1,0.0885082133719859,0
1,0.0826696333880437,0
1,0.0835019557063976,0
1,0.0929001062964684,0
1,0.1024525974063279,0
1,0.1122353986880766,1
1,0.1221070612287364,1
1,0.1319409579109772,1
1,0.1321022446168921,1
1,0.1268354948724901,1
1,0.1209142170099851,1
1,0.1143142775127081,0
1,0.1071101924134998,0
1,0.0995476793632413,0
1,0.0998792077549683,0
1,0.1096937366552514,0
1,0.1194359293736871,0
1,0.129682261853767,1
1,0.140301110382604,1
1,0.1513028498429229,1
1,0.1513633019528376,1
1,0.1430146587063892,1
1,0.1341272153937375,1
1,0.1248414431096922,0
1,0.1151450676833725,0
1,0.1052809314318775,0
1,0.1054194084818621,0
1,0.116718681621107,0
1,0.1283250340409833,0
1,0.1405207287908778,1
1,0.153234500014478,1
1,0.1664265187690654,1
1,0.1768957848859594,1
1,0.1664876745606792,1
1,0.1558276216386793,1
1,0.1449642662545602,1
1,0.1336058737583312,0
1,0.1215377584950413,0
1,0.1114501851141726,0
1,0.1121379047196259,0
1,0.1240310254226725,0
1,0.1367982823403108,0
1,0.1509597316373087,1
1,0.1667616403990309,1
1,0.1808738617393508,1
1,0.1813210528711654,1
1,0.1736250364084443,1
1,0.1654346004364471,1
1,0.1563937256575939,0
1,0.1461543441847024,0
1,0.1374356651199637,0
1,0.1392534107756444,0
1,0.1547154771513585,0
1,0.1720911140981603,0
1,0.1911449729597488,1
1,0.2119702474936845,1
1,0.2342613347820726,1
1,0.2346001211602267,1
1,0.2264321867003461,1
1,0.2160854095384384,1
1,0.2041110377832614,0
1,0.1907358038444085,0
1,0.1760802886407063,0
1,0.1776883886395647,0
1,0.1995693350017229,0
1,0.2224404836000942,0
1,0.2460371393497405,1
1,0.2701437205843832,1
1,0.2945902427136144,1
1,0.2953417534625738,1
1,0.2788088255619596,1
1,0.2618197513492421,1
1,0.2445266093411781,0
1,0.2269884373205741,0
1,0.2090500884591362,0
1,0.2099361876848037,0
1,0.2346440569357123,0
1,0.2592464046554041,0
1,0.2834643836818749,1
1,0.3073540390102108,1
1,0.3309513847965822,1
1,0.3321164606343387,1
1,0.3148827076400917,1
1,0.2982982692175935,1
1,0.2823027945674016,0
1,0.2666988400899551,0
1,0.2516337314397281,0
1,0.2403340931862051,0
1,0.2628794084544962,0
1,0.2847757309259767,0
1,0.3059455834125399,0
1,0.3265481472551421,1
1,0.3470796478169021,1
1,0.3665993901332441,1
1,0.3700932228180946,1
1,0.364696577244007,1
1,0.3614125882669268,1
1,0.3599252307838102,0
1,0.3598581146639485,0
1,0.3629279030865361,0
1,0.3658550750304205,0
1,0.3804707372873236,0
1,0.3919576141973653,0
2,0.0,0
2,0.0,0
2,0.0,0
2,5.208034011801897e-06,0
2,2.28496446788387e-05,1
2,4.240924014770373e-05,1
2,6.65449330924697e-05,1
2,0.000695066426577,1
2,0.001285168827929,1
2,0.0018218677296392,1
2,0.0023105209021838,0
2,0.002752647203639,0
2,0.0031468787290801,0
2,0.0031489452829128,0
2,0.0025440058115279,0
2,0.0022249807521075,0
2,0.0019514414007602,1
2,0.0017566130746987,1
2,0.0016162293173558,1
2,0.0037163120657449,1
2,0.0081730132571633,1
2,0.0137264426396158,1
2,0.019266043783472,0
2,0.0251002297790091,0
2,0.030859461897376,0
2,0.0308732088561769,0
2,0.0287198731024008,0
2,0.0246227818190525,0
2,0.0194757836934215,1
2,0.0141279152457393,1
2,0.0085118260317936,1
2,0.0084654689206423,1
2,0.0146555713958878,1
2,0.0208042645161563,1
2,0.0269337795411752,0
2,0.0329657729233334,0
2,0.0386733839831395,0
2,0.0386688786523093,0
2,0.0331495084846437,0
2,0.0271319569480703,0
2,0.0211820385819084,1
