HI,regime
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.007657284475139764,0
0.02644019060670533,0
0.0397525733607359,0
0.05171389860491771,1
0.06020716763762886,1
0.06364234184218477,1
0.06492660198157556,1
0.06861643008875785,1
0.07064440059385921,1
0.07721686216213494,0
0.08662699553336042,0
0.10028863451481121,0
0.11506181415383086,0
0.12765677558851013,0
0.13822345047084553,0
0.14871966647814963,1
0.1604070891350449,1
0.17149169714914234,1
0.18248497948596162,1
0.19832930870692078,1
0.21670741643228475,1
0.23157562615346647,0
0.24366702239505728,0
0.25374653466925057,0
0.2616597149436675,0
0.26901248435939,0
0.2747905267813624,0
0.27942895374529314,1
0.28563252759081553,1
0.2945117078257901,1
0.3041302742546908,1
0.3161944883638615,1
0.3272519310183069,1
0.33666817921264774,0
0.345929250984785,0
0.3571664376847039,0
0.36761102387773464,0
0.37340101430716643,0
0.3769761777648412,0
0.3779872904013601,1
0.377728477785008,1
0.3741958188502772,1
0.3676883271575419,1
0.3602051297399751,1
0.355341824351581,1
0.3517810166063693,1
0.35015670331102283,0
0.40964149029162866,0
0.4652709147599838,0
0.5149384132440993,0
0.5582779347640043,0
0.595406385156593,0
0.6282911212401039,1
0.6553928292362279,1
0.6203394620969932,1
0.5891446244541743,1
0.5668601983164444,1
0.5604028364345554,1
0.557172989388006,0
0.5683186220499034,0
0.6384797320437716,0
0.7282031988885471,0
0.8329167432505806,0
0.9577173266338406,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,0
1.0,0
0.9517954234333884,0
0.8911733458928313,0
0.8439938052119508,0
