HI,regime
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0019259483279518445,0
0.00439760395465361,0
0.006462388777984162,0
0.008137466565446887,0
0.009509437381515894,1
0.010671543881576926,1
0.011627662131152088,1
0.012533747865370695,1
0.013728377600860838,1
0.015205068192015328,1
0.017018231141050118,0
0.019102597731068992,0
0.02142334676155069,0
0.023510640595010228,0
0.025054993440782485,0
0.026322838951471576,0
0.02741779515292131,1
0.028259543901456095,1
0.028891827397104382,1
0.029528202599707936,1
0.03039241071501078,1
0.03150063278942023,1
0.032664368445641745,0
0.033795996288941234,0
0.03496889814389104,0
0.03617625487566292,0
0.03716073802657421,0
0.03819071390628314,0
0.039098929826190607,1
0.04009610095886075,1
0.04119937451218798,1
0.04265309515002054,1
0.04446020089464192,1
0.04663645941890111,1
0.04916291766095178,0
0.05202862009287231,0
0.05513444129529257,0
0.058284206961615806,0
0.061174456141630924,0
0.06392304314807538,0
0.06646172990738873,1
0.06878408574753203,1
0.0707230282796263,1
0.0720505117710634,1
0.07425412013381094,1
0.07716325480629879,1
0.0806144637051565,1
0.08464850686035202,0
0.08932263934050572,0
0.09569652528308381,0
0.10267916798490817,0
0.10878450655984494,0
0.11461125628324864,0
0.11990410796497813,1
0.12408809065398367,1
0.12681188414103514,1
0.13058404758410996,1
0.13481250118670823,1
0.13973255160275264,1
0.14457345403647834,0
0.1493491832663199,0
0.15296194086493028,0
0.15777509592784703,0
0.15957124912294393,0
0.1714759802900824,0
0.18575385960260907,1
0.20199883633545945,1
0.2219114169106014,1
0.3111849262599145,1
0.4300061868036919,1
0.572930503123206,1
0.6915321460630958,0
0.8039391474070477,0
0.9081831291246993,0
1.0,0
1.0,0
1.0,0
