HI,regime
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0029503246183676477,0
0.014930808694248902,0
0.02551853773444586,0
0.03504687002192696,1
0.04376225060283833,1
0.04988761727675882,1
0.05373413679965234,1
0.05810871225071517,1
0.06296632055056472,1
0.06786284325200923,0
0.07276530486078508,0
0.07790198944081023,0
0.08414741993746389,0
0.08886635218106842,0
0.09278594282257778,0
0.09586788881272462,1
0.09825795800671253,1
0.10009003765864018,1
0.10162446081403036,1
0.10381052023564541,1
0.10577099727721904,1
0.1076651035779295,0
0.10952183443086176,0
0.11145817336070393,0
0.11311947171542913,0
0.11408911047583914,0
0.1145256159089939,0
0.11511997930654816,1
0.11569095680850049,1
0.11629168192664328,1
0.11746383558017377,1
0.1187985341868974,1
0.11944240919050643,1
0.11967524824147649,0
0.11945615892861246,0
0.11905071105940118,0
0.11830968571713986,0
0.11701466844907826,0
0.1161328343331345,0
0.11615606173139424,1
0.11694790492865494,1
0.1187367643405233,1
0.117182823017098,1
0.11658681587465232,1
0.11629642454598244,1
0.11601983036043656,1
0.11552017330776217,0
0.11428970548797168,0
0.11586043529706092,0
0.12094177660424123,0
0.12577199559969482,0
0.13066824311282388,0
0.13687738674073854,1
0.14473406470152025,1
0.15009834620658763,1
0.15276122455708485,1
0.15491047386351386,1
0.15622228641643998,1
0.15632607613254174,0
0.1545544603608991,0
0.15583051941930834,0
0.16107420177634976,0
0.1703892214102309,0
0.1819884243216235,0
0.19563918772320285,1
0.2131349859904171,1
0.23578736679233975,1
0.25099020286710977,1
0.26194713179687706,1
0.2663368021054945,1
0.268000738638398,0
0.2722477908192753,0
0.27434716953039734,0
0.27862448229989983,0
0.34842669812346555,0
0.422599487596841,0
0.49836403186703415,1
0.574590268649912,1
0.6444589897446971,1
0.7106695559172649,1
0.7677588267147336,1
0.7430158451927814,1
0.7193931523586609,0
0.6951549122360295,0
0.6707545327611899,0
0.6506024217067179,0
0.6303205956876327,0
0.6124319552557441,0
0.5974899453131198,1
0.5825991677424566,1
0.5738834342431561,1
0.5644278237502197,1
0.5522255150823607,1
0.6922844392708741,1
0.8227072240013037,0
0.9437694725776181,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,0
1.0,0
1.0,0
0.9856274108794701,0
0.9737966861902941,0
0.9681132255722193,0
