file_idx,time_sec,hi_obs,x_filt,P_filt,cond,rpm
1,0,0.0,0.0024694749716547017,9.923690512906569e-05,0,689.2
2,600,0.0,0.004918775648895202,9.848536834965722e-05,0,740.0
3,1200,0.0,0.007348356936251023,9.774512904149816e-05,0,740.3333333333334
4,1800,0.0,0.00654107951800684,9.701593436139901e-05,1,782.5833333333334
5,2400,2.5085142e-13,0.006390065921088865,9.629753895531332e-05,2,985.0833333333334
6,3000,1.4991544e-12,0.006239490262941719,9.558970468309303e-05,2,986.0
7,3600,3.3707828e-12,0.006089342956850623,9.48922003552943e-05,2,983.8333333333334
8,4200,0.0,0.005939614693843269,9.420480148142285e-05,2,984.4166666666666
9,4800,0.0,0.005790296432806453,9.352729002904288e-05,2,985.5
10,5400,4.2759403e-12,0.005641379390867737,9.285945419320656e-05,2,985.0
11,6000,0.0,0.004848900239371924,9.220108817569185e-05,1,741.6666666666666
12,6600,0.0,0.004062278393878428,9.155199197356537e-05,1,741.6666666666666
13,7200,0.0,0.0032813910127200037,9.091197117661397e-05,1,741.3333333333334
14,7800,0.0,0.002506118665427805,9.028083677321395e-05,1,741.8333333333334
15,8400,6.045634e-13,0.0017363452151446751,8.965840496423081e-05,1,741.8333333333334
16,9000,5.6322625e-12,0.000971957705887132,8.904449698456461e-05,1,741.8333333333334
17,9600,1.4782339e-12,0.0008513559463404555,8.843893893197688e-05,2,985.1666666666666
18,10200,1.3510625e-13,0.0007307457828214937,8.784156160285496e-05,2,984.3333333333334
19,10800,2.1724025e-09,0.0006101273990884682,8.725220033458774e-05,2,985.6666666666666
20,11400,1.8384194e-09,0.0004895009428112879,8.66706948542446e-05,2,984.3333333333334
21,12000,1.8713142e-09,0.0003688665767710271,8.60968891332652e-05,2,984.4166666666666
22,12600,7.5162027e-10,0.00024822444947291815,8.55306312478835e-05,2,983.8333333333334
23,13200,4.2826587e-10,-0.0005059168120998574,8.497177324502387e-05,1,741.3333333333334
24,13800,1.1276662e-12,-0.0012551547980433593,8.442017101342028e-05,1,741.0
25,14400,1.7087744e-12,-0.0019995843799891343,8.387568415972314e-05,1,741.75
26,15000,0.0,-0.002739298000422588,8.333817588936982e-05,1,742.6666666666666
27,15600,6.4573334e-12,-0.0034743857472173613,8.280751289200653e-05,1,744.9166666666666
28,16200,8.383049e-12,-0.0042049354282735546,8.228356523126016e-05,1,745.8333333333334
29,16800,1.0054489e-11,-0.004302180652620689,8.176620623866834e-05,2,987.1666666666666
30,17400,2.079314e-11,-0.004399725524687429,8.125531241158607e-05,2,988.0833333333334
31,18000,2.2053201e-11,-0.0044975644625830855,8.075076331489604e-05,2,987.0
32,18600,2.6097905e-11,-0.004595692022127201,8.02524414863582e-05,2,984.5
33,19200,2.6626198e-11,-0.004694102892740343,7.976023234544254e-05,2,985.0
34,19800,1.821837e-11,-0.004792791893366645,7.927402410549623e-05,2,985.5
35,20400,2.081016e-12,-0.00551630374797355,7.879370768910388e-05,1,741.3333333333334
36,21000,8.6638075e-13,-0.006235635609568229,7.83191766465062e-05,1,741.6666666666666
37,21600,3.41863e-13,-0.0069508625474696585,7.785032707694896e-05,1,741.6666666666666
38,22200,4.3226655e-13,-0.007662057844112845,7.738705755284015e-05,1,745.5
39,22800,4.3802998e-13,-0.008369293047904776,7.692926904659901e-05,1,745.1666666666666
40,23400,4.1031323e-12,-0.009072638024185559,7.647686486008633e-05,1,745.0
41,24000,1.4916643e-11,-0.00915161160598874,7.602975055651e-05,2,986.3333333333334
42,24600,2.3843691e-11,-0.009231076340202881,7.558783389470549e-05,2,984.25
43,25200,3.546025e-11,-0.009311023711924401,7.515102476569504e-05,2,984.3333333333334
44,25800,3.9772054e-11,-0.00939144540200112,7.471923513143372e-05,2,984.8333333333334
45,26400,4.0746437e-11,-0.009472333281361042,7.42923789656553e-05,2,985.6666666666666
46,27000,3.446501e-11,-0.009553679405658535,7.387037219673403e-05,2,987.3333333333334
47,27600,6.722362e-12,-0.010252296170774023,7.345313265248297e-05,1,743.25
48,28200,3.441654e-11,-0.010947294317004131,7.304058000681247e-05,1,744.3333333333334
49,28800,3.2374874e-11,-0.011638734476393894,7.263263572817624e-05,1,744.25
50,29400,3.9338734e-11,-0.012326675933732264,7.222922302973546e-05,1,745.0
51,30000,4.1893964e-11,-0.013011176664047915,7.183026682117438e-05,1,745.0
52,30600,5.497132e-11,-0.013692293368427042,7.143569366210422e-05,1,746.0
53,31200,2.2265618e-11,-0.013756746106326304,7.104543171699427e-05,2,981.8333333333334
54,31800,8.679511e-11,-0.013821815768717228,7.065941071157234e-05,2,987.8333333333334
55,32400,4.7318982e-11,-0.013887492354405638,7.027756189063888e-05,2,989.1666666666666
56,33000,1.5470049e-10,-0.013953766075876058,6.989981797724162e-05,2,986.4
57,33600,2.0264249e-10,-0.014020627356023878,6.952611313315982e-05,2,984.4166666666666
58,34200,2.2160865e-10,-0.014088066821301598,6.915638292064926e-05,2,988.1666666666666
59,34800,3.0688438e-11,-0.014766147144299283,6.879056426540152e-05,1,961.1666666666666
60,35400,2.0169102e-11,-0.015441053459710115,6.842859542067257e-05,1,743.5
61,36000,2.4408548e-11,-0.016112835609128923,6.807041593253805e-05,1,743.3333333333334
62,36600,4.1462934e-11,-0.01678154239603814,6.771596660623398e-05,1,743.6666666666666
63,37200,4.7694643e-11,-0.017447221612807994,6.736518947354366e-05,1,743.3333333333334
64,37800,3.905657e-11,-0.018109920066649066,6.701802776119299e-05,1,743.5833333333334
65,38400,3.7521906e-11,-0.018769683604733543,6.667442586021804e-05,1,741.1666666666666
66,39000,4.726552e-11,-0.01882004029487452,6.633432929627008e-05,2,983.5
