HI,regime
0.0,0
0.0,0
0.0,0
3.7716698703554256e-06,0
1.8779106955203484e-05,1
3.519654565866973e-05,1
5.657243159976273e-05,1
0.0006850939250843346,1
0.0012751963264363885,1
0.0018118952281465824,1
0.0023019847648326213,0
0.0027467452398699838,0
0.003144118922076507,0
0.003146487654878486,0
0.0025393363182626785,0
0.0022169662506407507,0
0.0019400261144031795,1
0.0017480052344483257,1
0.001615006868735226,1
0.003715089617124299,1
0.008174248436577072,1
0.013729889684260543,1
0.01927283583631828,0
0.02511042261674553,0
0.030866847289005826,0
0.030883895962828877,0
0.028745692294190054,0
0.024668195663891654,0
0.019546823088024665,1
0.014228965304013684,1
0.008645653402433307,1
0.008599296291281998,1
0.014778711659875592,1
0.020912272695006777,1
0.02702219306697576,0
0.033028560899369896,0
0.03870616129550489,0
0.03870191752746404,0
0.03321773167865753,0
0.027235500617036907,0
0.021321240400926478,1
0.015477463126309259,1
0.009737370682116173,1
0.009969707680717355,1
0.01567660811885771,1
0.02125933607621916,1
0.027032258129435254,0
0.03329987642971344,0
0.03975115213394373,0
0.03990094887346089,0
0.03435154142126683,0
0.029073247772874573,0
0.02403714551741811,1
0.018796032827623564,1
0.013204361630327757,1
0.007565257243540804,1
0.013829472186534807,1
0.01980840258545257,1
0.025493126608022526,1
0.030733668036249606,0
0.036054967800906376,0
0.041003326586208526,0
0.04124838313848996,0
0.03585916779920234,0
0.030725944194755894,0
0.02582148291170027,1
0.022608140250253827,1
0.020489124062981038,1
0.02042054531469617,1
0.024638100985626108,1
0.028610136773355714,1
0.03310704169356881,0
0.03806454679808605,0
0.04214044295222924,0
0.042077970171113685,0
0.0399824884676303,0
0.038084684216648915,0
0.03645867581071819,1
0.03464425254450111,1
0.0330579467857726,1
0.03356058230926442,1
0.03769191233654528,1
0.04261174774741431,1
0.04866247789084097,0
0.055797611711738096,0
0.06356383838468643,0
0.07603569565182103,0
0.08548709764124304,0
0.09352725336893589,0
0.10093089613663392,1
0.10641496765198145,1
0.11517533687920435,1
0.12824627458833487,1
0.1356482896247959,1
0.14357067432660814,1
0.15492685735445236,0
0.16904050260734454,0
0.18616213112222807,0
0.1921957275579484,0
0.20272335880607906,0
0.2225078447341119,0
0.2399325652539485,1
0.25418621703291044,1
0.2666965615252642,1
0.2695937097922993,1
0.28183817054700894,1
0.28816027192993937,1
0.29130136094451337,0
0.30197695483057185,0
0.3186192442597831,0
0.3426748835755744,0
0.37413109963576074,0
0.4029231251511036,0
0.427913012740979,0
