run,file_idx,time_sec,rul_sec,torque,rpm,temp_front,temp_rear,CH1_RMS,CH1_Kurt,CH1_P2P,CH1_CrestF,CH1_Std,CH2_RMS,CH2_Kurt,CH2_P2P,CH2_CrestF,CH2_Std,CH3_RMS,CH3_Kurt,CH3_P2P,CH3_CrestF,CH3_Std,CH4_RMS,CH4_Kurt,CH4_P2P,CH4_CrestF,CH4_Std
Train1,0,0,75251,-4.531,498.0,10.279,10.389,0.15052731335163116,4.113484127015909,1.9044876098632812,6.355830399878898,0.1493617594242096,0.19604431092739105,3.3330545114200394,2.2796630859375,5.830205746854778,0.1957537680864334,0.12516488134860992,4.096688230916269,1.6874313354492188,7.253615706172516,0.12514141201972961,0.1706651896238327,3.8312475419363765,2.0404815673828125,5.9802602725345855,0.1706652045249939
Train1,1,600,74651,-2.997,740.0,14.166,14.19,0.15066565573215485,4.133366533319825,1.8996238708496094,6.484817873083467,0.14937634766101837,0.1987696886062622,3.329538295707152,2.276134490966797,6.018468262853095,0.19850093126296997,0.12615692615509033,4.091687186449244,1.6396522521972656,6.592577963645475,0.12614589929580688,0.17217861115932465,3.814291159072797,2.054119110107422,6.058412019097096,0.17217829823493958
Train1,2,1200,74051,-2.774,740.0,16.962,16.657,0.14839254319667816,4.14258472790446,1.8917083740234375,6.806517677646102,0.1471731960773468,0.2018561214208603,3.302366740513085,2.2545814514160156,5.728486708738235,0.20162339508533478,0.12521202862262726,4.083501821472089,1.6132354736328125,6.8357865325176785,0.12519992887973785,0.17110246419906616,3.8024152323235207,2.248668670654297,6.945391296552517,0.17110244929790497
Train1,3,1800,73451,-2.878,740.0,18.872,18.671,0.15041300654411316,4.200076135748639,1.8713951110839844,6.421528096817575,0.14920295774936676,0.3687334656715393,3.2130745654223163,3.8842201232910156,5.38633543262783,0.3685700595378876,0.14756862819194794,4.182881847067809,2.4054527282714844,8.17968966071255,0.1475488692522049,0.25014230608940125,3.57131413618333,3.3011436462402344,7.788992829201128,0.25013986229896545
Train1,4,2400,72851,-11.87,984.0,46.819,43.413,0.14855048060417175,4.280852229186298,1.7004013061523438,5.741928973362434,0.14740914106369019,0.4208783209323883,3.2112470889334124,4.617118835449219,5.66297367437873,0.42073580622673035,0.15613989531993866,4.128948603843636,2.3903846740722656,7.961542877176777,0.15611477196216583,0.26865366101264954,3.544602255104743,3.7298202514648438,8.05101014238359,0.26865261793136597
Train1,5,3000,72251,-9.962,986.0,70.049,56.742,0.14846259355545044,4.209109944076625,1.7192840576171875,5.814061327516082,0.14739283919334412,0.43933796882629395,3.217353667164246,4.676914215087891,5.363384610864014,0.43921658396720886,0.1616901010274887,3.869858914825918,2.5180816650390625,8.342949333175076,0.16166281700134277,0.2807776629924774,3.447452296051246,3.7398338317871094,7.852135604957953,0.28077664971351624
Train1,6,3600,71651,-10.649,985.0,87.641,68.904,0.14877267181873322,4.260909719586885,1.7947196960449219,6.139765113318002,0.1476387083530426,0.4488869607448578,3.258506406291537,4.59136962890625,5.2327201427409005,0.448760449886322,0.16827848553657532,3.7620303160768307,2.2918701171875,7.560096194245012,0.16825087368488312,0.29093679785728455,3.4100677879866166,3.7102699279785156,7.320630688550868,0.29093554615974426
Train1,7,4200,71051,-10.733,985.0,110.712,71.759,0.15076316893100739,4.261329811316716,1.9788742065429688,7.079029547140629,0.14970876276493073,0.4494933784008026,3.260240749218348,4.918575286865234,5.673544065475217,0.44936978816986084,0.16831055283546448,3.8108352114379445,2.4550437927246094,8.021580982198671,0.16826824843883514,0.292256623506546,3.434561752638136,3.7517547607421875,7.104508690890548,0.29225286841392517
Train1,8,4800,70451,-10.35,986.0,116.697,80.749,0.1479663848876953,4.301229913499216,1.799774169921875,6.113925519120287,0.1468815803527832,0.4481361210346222,3.1828493092620813,4.527568817138672,5.3195883501013475,0.44801613688468933,0.17005546391010284,3.759787112824459,2.4166107177734375,7.695884826661254,0.17002320289611816,0.2947341203689575,3.3868762098555494,4.29229736328125,8.092835772694613,0.2947309613227844
Train1,9,5400,69851,-10.872,984.0,119.911,90.893,0.15579918026924133,3.937669666451042,1.9013404846191406,6.15055837561446,0.1547292023897171,0.2719985544681549,3.154213118961593,3.2830238342285156,6.1249357246823255,0.2718079686164856,0.1602044254541397,3.6096948330243848,2.3223876953125,7.7601466709501725,0.1601729393005371,0.2235199362039566,3.36252432210108,2.602672576904297,5.954492912686543,0.22351929545402527
Train1,10,6000,69251,-1.875,741.0,97.753,80.53,0.15443632006645203,3.959578122195324,1.8199920654296875,6.314753909773868,0.15341530740261078,0.2656116783618927,3.1780370419167214,2.9331207275390625,5.603308361126329,0.26540422439575195,0.15362128615379333,3.6408023079833147,2.170085906982422,7.158395049107811,0.15359334647655487,0.21772980690002441,3.402152158061567,2.7608871459960938,6.487776834813752,0.21772818267345428
