file,HI_CNN
1,0.19811885
2,0.20654877
3,0.19830607
4,0.2544279
5,0.2159605
6,0.19961044
7,0.19878367
8,0.205542
9,0.20050721
10,0.1929799
11,0.19552319
12,0.19754161
13,0.22156337
14,0.21797371
15,0.21154663
16,0.22305831
17,0.21854289
18,0.20659558
19,0.4102207
20,0.41345936
21,0.45967412
22,0.36693949
23,0.38328376
24,0.21560661
25,0.21824102
26,0.22721119
27,0.21519211
28,0.21059117
29,0.20817916
30,0.21532074
31,0.21730563
32,0.21725611
33,0.21126923
34,0.212109
35,0.22640653
36,0.21745369
37,0.20828633
38,0.22668219
39,0.19778837
40,0.22933872
41,0.20675716
42,0.2141352
43,0.23008351
44,0.22244874
45,0.22738914
46,0.20611247
47,0.21673772
48,0.23929915
49,0.21406421
50,0.23766415
51,0.23827477
52,0.22537208
53,0.23917572
54,0.2531188
55,0.23023868
56,0.21685612
57,0.23775606
58,0.2725992
59,0.25303033
60,0.23578484
61,0.23126154
62,0.22649693
63,0.21879944
64,0.20796785
65,0.21212137
66,0.21241553
67,0.21892805
68,0.22655542
69,0.22370729
70,0.23937866
71,0.22831997
72,0.21911368
73,0.23629156
74,0.24565156
75,0.22877076
76,0.24006724
77,0.22725265
78,0.22161011
79,0.1985868
80,0.22308667
81,0.2355062
82,0.21920697
83,0.21530727
84,0.24244292
85,0.21960692
86,0.24461858
87,0.24367158
88,0.24566014
89,0.23737054
90,0.22080441
91,0.5754365
92,0.6328509
93,0.63029563
94,0.6453508
95,0.650984
96,0.45501953
97,0.46901065
98,0.49712926
99,0.20854421
100,0.18001562
101,0.1861839
102,0.18381229
103,0.17829697
104,0.6221555
105,0.657665
106,0.64005256
107,0.67081285
108,0.54686135
109,0.6233151
110,0.63083243
111,0.6138729
112,0.62194675
113,0.56689656
114,0.6797379
115,0.69690454
116,0.7100092
117,0.71538854
118,0.18913954
119,0.54856193
120,0.72274977
121,0.7214109
122,0.7154067
123,0.7228437
124,0.7208445
125,0.70576346
126,0.5419433
