file,HI_CNN
1,0.20191643
2,0.2176776
3,0.22423267
4,0.24284092
5,0.22003727
6,0.23257248
7,0.27511746
8,0.26341206
9,0.26699698
10,0.27319443
11,0.26424733
12,0.2560784
13,0.2508766
14,0.25388533
15,0.27544135
16,0.23589739
17,0.24577117
18,0.24739853
19,0.2606603
20,0.2729353
21,0.26882198
22,0.2748272
23,0.37559435
24,0.3590622
25,0.3681751
26,0.287073
27,0.28719512
28,0.2654938
29,0.23613052
30,0.27156022
31,0.24450175
32,0.2668216
33,0.26505858
34,0.26217142
35,0.2742284
36,0.29164562
37,0.26222858
38,0.2607023
39,0.27263558
40,0.26192534
41,0.2543634
42,0.25086746
43,0.24565808
44,0.24721451
45,0.25459057
46,0.25962925
47,0.26923475
48,0.23780692
49,0.25737804
50,0.2740865
51,0.27250335
52,0.2633568
53,0.24532664
54,0.25109404
55,0.2471191
56,0.2657451
57,0.24936874
58,0.2678811
59,0.27497986
60,0.26696265
61,0.27372423
62,0.25742596
63,0.29291525
64,0.2684518
65,0.24294952
66,0.27080032
67,0.2713254
68,0.265748
69,0.29490608
70,0.31965548
71,0.29649788
72,0.28334633
73,0.2911167
74,0.28542233
75,0.31196195
76,0.27193093
77,0.26928556
78,0.28958455
79,0.29132062
80,0.28056833
81,0.29638988
82,0.27928522
83,0.32087675
84,0.29255664
85,0.3055647
86,0.3315138
87,0.33929914
88,0.34061685
89,0.3295493
90,0.34371203
91,0.33120686
92,0.29867226
93,0.33978152
94,0.31436384
95,0.39145553
96,0.4034831
97,0.40339246
98,0.3726778
99,0.44844532
100,0.45218468
101,0.41807452
102,0.4938298
103,0.5073091
104,0.43793863
105,0.41949734
106,0.395475
107,0.37878245
108,0.3890342
109,0.5139534
110,0.56120574
111,0.6399295
112,0.6482131
113,0.6682565
114,0.62169707
