file,HI_CNN
1,0.22718486
2,0.23156805
3,0.2541839
4,0.26996318
5,0.2762261
6,0.29393506
7,0.29158592
8,0.28185263
9,0.33370256
10,0.30345678
11,0.30918363
12,0.29057503
13,0.29599127
14,0.2939506
15,0.30883783
16,0.23702328
17,0.29118165
18,0.33236873
19,0.33260697
20,0.33173716
21,0.36639985
22,0.35277814
23,0.29698074
24,0.28640383
25,0.27536908
26,0.32323295
27,0.31488308
28,0.31183323
29,0.3284276
30,0.35191268
31,0.37937027
32,0.37586355
33,0.3758734
34,0.40816188
35,0.34489247
36,0.3392471
37,0.3382098
38,0.37097317
39,0.32405362
40,0.31391373
41,0.3303396
42,0.35851926
43,0.38089153
44,0.36136302
45,0.40099686
46,0.34078163
47,0.378993
48,0.35250217
49,0.2965878
50,0.34953874
51,0.3313982
52,0.30338725
53,0.35576892
54,0.36982352
55,0.35885727
56,0.41746083
57,0.3829775
58,0.39152128
59,0.34317425
60,0.29892468
61,0.34898338
62,0.32459235
63,0.29464918
64,0.32380486
65,0.3719282
66,0.34920108
67,0.4008338
68,0.39566305
69,0.42672926
70,0.48273382
71,0.49812347
72,0.38566917
73,0.33590347
74,0.34730837
75,0.3615809
76,0.34871683
77,0.29788536
78,0.5562231
79,0.5323721
80,0.612846
81,0.62108016
82,0.6887542
83,0.716207
84,0.7114543
85,0.74571913
86,0.7394584
87,0.71533716
88,0.7251921
89,0.7237576
