bearing_id,file_idx,time_sec,e_struct,e_fault
1,1,0,0.006360233508962931,6.294174272970766e-05
1,2,600,0.00646023396738687,6.229488089210935e-05
1,3,1200,0.006496963340496416,6.513117383124672e-05
1,4,1800,0.006213063308723212,7.57322518195315e-05
1,5,2400,0.006427443873677266,7.655825674953502e-05
1,6,3000,0.006370869114741306,7.738981215460217e-05
1,7,3600,0.006209803696529416,7.855957649275901e-05
1,8,4200,0.006184313562884537,7.346820367497083e-05
1,9,4800,0.006252999111516831,7.17565404912941e-05
1,10,5400,0.006478643839273185,6.805702916142617e-05
1,11,6000,0.006344653995517888,6.903430561334052e-05
1,12,6600,0.006228542732029122,6.449092234617313e-05
1,13,7200,0.006243974264787282,6.748679726771751e-05
1,14,7800,0.006236325094906285,6.804533765180414e-05
1,15,8400,0.006235942081909457,7.111412292598291e-05
1,16,9000,0.006246472716134581,7.279573814490747e-05
1,17,9600,0.006216855880496905,7.473436828166922e-05
1,18,10200,0.006057478873146059,7.569760252511371e-05
1,19,10800,0.005015475813550186,6.8761899455174e-05
1,20,11400,0.00501346924004157,6.978256562866195e-05
1,21,12000,0.004975785138482599,6.886831322956723e-05
1,22,12600,0.005542841660769028,7.276359642130668e-05
1,23,13200,0.005323232405892099,7.104506552486268e-05
1,24,13800,0.006118353789543305,6.960419978735358e-05
1,25,14400,0.006143542643913303,7.042893438036281e-05
1,26,15000,0.006069396776698009,6.904726099229728e-05
1,27,15600,0.006134209336746878,6.854413877187615e-05
1,28,16200,0.006108087821997602,7.261815475253201e-05
1,29,16800,0.006170082472789124,7.439906179209579e-05
1,30,17400,0.006110279050881681,7.61053903797585e-05
1,31,18000,0.006207711415514737,7.38720080680111e-05
1,32,18600,0.006101613486778201,7.193994913069319e-05
1,33,19200,0.005988780808017113,7.364478993372976e-05
1,34,19800,0.005969693576311661,7.4990406008405e-05
1,35,20400,0.0059184846362032,6.83455487505213e-05
1,36,21000,0.005944637600599226,6.88665353804424e-05
1,37,21600,0.005961609650686313,6.76063089519086e-05
1,38,22200,0.005991185596993948,6.612659762019603e-05
1,39,22800,0.005993505880805045,6.815073767006597e-05
1,40,23400,0.006028950604680664,6.644716894994457e-05
1,41,24000,0.0061247325248270585,7.389290171869986e-05
1,42,24600,0.0061879923658722516,7.514042628459222e-05
1,43,25200,0.0061444203956117945,7.68409756764045e-05
1,44,25800,0.006147568542998167,7.414770412354099e-05
1,45,26400,0.006068523006787684,7.48688995787751e-05
1,46,27000,0.006047873892448669,7.265337958376229e-05
1,47,27600,0.005975460269334081,7.042249779497576e-05
1,48,28200,0.006003683047827059,6.476556152894375e-05
1,49,28800,0.006002327611668341,6.427022443842448e-05
1,50,29400,0.006025558011938302,6.547488732067701e-05
1,51,30000,0.006088923412391749,5.974478799190526e-05
1,52,30600,0.006120943490622432,6.360739755587618e-05
1,53,31200,0.006110129821153443,7.412181793707711e-05
1,54,31800,0.005789334361418912,7.180986435956957e-05
1,55,32400,0.005966912257361373,7.138436945208151e-05
1,56,33000,0.005707057428989023,7.177341814697853e-05
1,57,33600,0.005623038335609621,6.997558276892923e-05
1,58,34200,0.0055624280287434645,7.324090801662754e-05
1,59,34800,0.005555377968739463,6.656573582503698e-05
1,60,35400,0.005543186664086719,6.81370140722452e-05
1,61,36000,0.0057336837918785365,6.218524388544327e-05
1,62,36600,0.0060999789848669205,6.118752600552265e-05
1,63,37200,0.006061006778202669,6.397939421689993e-05
1,64,37800,0.006083143373860896,6.255173555180256e-05
1,65,38400,0.005948040070321223,6.873091800530667e-05
1,66,39000,0.006066946728909072,7.085138533112156e-05
1,67,39600,0.006143994326017714,6.709002740452209e-05
1,68,40200,0.006287896116625283,6.554184277369473e-05
1,69,40800,0.00645375483779769,6.900838560714836e-05
1,70,41400,0.006472901435310247,6.686178978181923e-05
1,71,42000,0.006267301718852121,6.626403927398009e-05
1,72,42600,0.0061844369538709126,6.646166945418686e-05
1,73,43200,0.006155120179194678,6.891291399323869e-05
1,74,43800,0.006104807203446713,6.348086848984317e-05
1,75,44400,0.006105095507022408,6.46268798369064e-05
1,76,45000,0.006142139340065009,6.676297228735468e-05
1,77,45600,0.0068245088577912495,7.839214435022165e-05
1,78,46200,0.006659107672921099,7.412109280382396e-05
1,79,46800,0.00703196766532612,8.042090911241189e-05
1,80,47400,0.0067813256822088705,6.963009140562377e-05
1,81,48000,0.006945041868928369,6.056815798981805e-05
