bearing_id,file_idx,time_sec
2,1,0
2,2,600
2,3,1200
2,4,1800
2,5,2400
2,6,3000
2,7,3600
2,8,4200
2,9,4800
2,10,5400
2,11,6000
2,12,6600
2,13,7200
2,14,7800
2,15,8400
2,16,9000
2,17,9600
2,18,10200
2,19,10800
2,20,11400
2,21,12000
2,22,12600
2,23,13200
2,24,13800
2,25,14400
2,26,15000
2,27,15600
2,28,16200
2,29,16800
2,30,17400
2,31,18000
2,32,18600
2,33,19200
2,34,19800
2,35,20400
2,36,21000
2,37,21600
2,38,22200
2,39,22800
2,40,23400
2,41,24000
2,42,24600
2,43,25200
2,44,25800
2,45,26400
2,46,27000
2,47,27600
2,48,28200
2,49,28800
2,50,29400
2,51,30000
2,52,30600
2,53,31200
2,54,31800
2,55,32400
2,56,33000
2,57,33600
2,58,34200
2,59,34800
2,60,35400
2,61,36000
2,62,36600
2,63,37200
2,64,37800
2,65,38400
2,66,39000
2,67,39600
2,68,40200
2,69,40800
2,70,41400
2,71,42000
2,72,42600
2,73,43200
2,74,43800
2,75,44400
2,76,45000
2,77,45600
2,78,46200
2,79,46800
2,80,47400
2,81,48000
2,82,48600
2,83,49200
2,84,49800
2,85,50400
2,86,51000
2,87,51600
2,88,52200
2,89,52800
2,90,53400
2,91,54000
2,92,54600
2,93,55200
2,94,55800
2,95,56400
2,96,57000
2,97,57600
2,98,58200
2,99,58800
2,100,59400
2,101,60000
2,102,60600
2,103,61200
2,104,61800
2,105,62400
2,106,63000
2,107,63600
2,108,64200
2,109,64800
2,110,65400
2,111,66000
2,112,66600
2,113,67200
2,114,67800
