bearing_id,file_idx,time_sec
4,1,0
4,2,600
4,3,1200
4,4,1800
4,5,2400
4,6,3000
4,7,3600
4,8,4200
4,9,4800
4,10,5400
4,11,6000
4,12,6600
4,13,7200
4,14,7800
4,15,8400
4,16,9000
4,17,9600
4,18,10200
4,19,10800
4,20,11400
4,21,12000
4,22,12600
4,23,13200
4,24,13800
4,25,14400
4,26,15000
4,27,15600
4,28,16200
4,29,16800
4,30,17400
4,31,18000
4,32,18600
4,33,19200
4,34,19800
4,35,20400
4,36,21000
4,37,21600
4,38,22200
4,39,22800
4,40,23400
4,41,24000
4,42,24600
4,43,25200
4,44,25800
4,45,26400
4,46,27000
4,47,27600
4,48,28200
4,49,28800
4,50,29400
4,51,30000
4,52,30600
4,53,31200
4,54,31800
4,55,32400
4,56,33000
4,57,33600
4,58,34200
4,59,34800
4,60,35400
4,61,36000
4,62,36600
4,63,37200
4,64,37800
4,65,38400
4,66,39000
4,67,39600
4,68,40200
4,69,40800
4,70,41400
4,71,42000
4,72,42600
4,73,43200
4,74,43800
4,75,44400
4,76,45000
4,77,45600
4,78,46200
4,79,46800
4,80,47400
4,81,48000
4,82,48600
4,83,49200
4,84,49800
4,85,50400
4,86,51000
4,87,51600
4,88,52200
4,89,52800
4,90,53400
4,91,54000
4,92,54600
4,93,55200
4,94,55800
4,95,56400
4,96,57000
4,97,57600
4,98,58200
4,99,58800
4,100,59400
4,101,60000
4,102,60600
4,103,61200
4,104,61800
4,105,62400
4,106,63000
4,107,63600
4,108,64200
4,109,64800
4,110,65400
4,111,66000
4,112,66600
4,113,67200
4,114,67800
4,115,68400
4,116,69000
4,117,69600
4,118,70200
4,119,70800
4,120,71400
4,121,72000
4,122,72600
4,123,73200
4,124,73800
4,125,74400
4,126,75000
4,127,75600
4,128,76200
4,129,76800
4,130,77400
4,131,78000
4,132,78600
4,133,79200
4,134,79800
4,135,80400
4,136,81000
4,137,81600
