bearing_id,file_idx,time_sec,e_struct,e_fault,HI
4,1,0,0.0012585898502307732,3.2256132124389355e-05,0.0
4,2,600,0.0012961944896201665,3.3435011904100977e-05,0.0
4,3,1200,0.0011402999797234378,3.3455744093496526e-05,0.0
4,4,1800,0.0017160176852788393,4.5552278838209304e-05,0.0
4,5,2400,0.0016450710908598746,4.4819565668395445e-05,0.0
4,6,3000,0.0015731038142555481,4.412265600441735e-05,0.0
4,7,3600,0.0015269334586666353,4.2194646443895914e-05,0.0
4,8,4200,0.001369601289186193,3.9312132754006754e-05,0.0
4,9,4800,0.001446486757558748,3.91520316567071e-05,0.0
4,10,5400,0.0012027400339940952,3.2388677892160214e-05,0.0
4,11,6000,0.0012367742915284146,3.130454460601294e-05,0.0
4,12,6600,0.0012130314109393484,3.270153192207167e-05,0.0
4,13,7200,0.001344711664393853,3.4127120231370324e-05,0.0
4,14,7800,0.0009996919964308923,3.1707066669079653e-05,0.0
4,15,8400,0.0008724379920389105,3.219173575105065e-05,0.0
4,16,9000,0.0012577707494073095,4.230992664423268e-05,0.0
4,17,9600,0.0014059939119606055,4.3278180781077026e-05,0.0
4,18,10200,0.0012637663604960314,4.018956010937874e-05,0.0
4,19,10800,0.0017074158193598607,4.053973856801452e-05,0.0
4,20,11400,0.0016838238789286916,4.0372172967212546e-05,0.0
4,21,12000,0.0016998447607333958,4.025496893401052e-05,0.0
4,22,12600,0.0012903906376304456,3.1055096418571735e-05,0.0
4,23,13200,0.0011419818345663189,3.096703984518909e-05,0.0
4,24,13800,0.0010313892585890317,3.107787284951265e-05,0.0
4,25,14400,0.0011378310754786678,3.100791724617515e-05,0.0
4,26,15000,0.001078940178914118,3.096627893297095e-05,0.0
4,27,15600,0.0010779154748200596,2.9203536350231567e-05,0.0
4,28,16200,0.0014549054835609814,4.229283018095223e-05,0.0
4,29,16800,0.0014742906518919764,4.0165197771784754e-05,0.0
4,30,17400,0.0014083987709976745,3.9552295475126026e-05,0.0
4,31,18000,0.001375554638291171,3.944730694203116e-05,0.0
4,32,18600,0.0015312440064331636,3.823509076408514e-05,0.0
4,33,19200,0.0012885204562138215,3.7872620577665433e-05,0.0
4,34,19800,0.001148081029398986,3.0293937695603185e-05,0.0
4,35,20400,0.0009937700576662049,3.097093545994063e-05,0.0
4,36,21000,0.0009285057270168431,3.170948302385636e-05,0.0
4,37,21600,0.000873695982082873,3.072995892908607e-05,0.0
4,38,22200,0.0011556039630717574,3.1247221431304134e-05,0.0
4,39,22800,0.001149720507829723,3.186496404356764e-05,0.0
4,40,23400,0.0013832362369017403,3.877838765738511e-05,0.0
4,41,24000,0.0014817387212874697,4.1673931694781545e-05,0.0
4,42,24600,0.0011270302608220532,3.82675092349891e-05,0.0
4,43,25200,0.0011874074344294838,3.741781304071489e-05,0.0
4,44,25800,0.0011895854617485935,3.914037317014236e-05,0.0
4,45,26400,0.0013520168425961159,4.004014161179608e-05,0.0
4,46,27000,0.0012333247745335836,3.6725177437441616e-05,0.0
4,47,27600,0.0008672862569560219,3.197673809648931e-05,0.0
4,48,28200,0.0009384197917939576,3.080310255796352e-05,0.0
4,49,28800,0.0008547934468017359,3.0860468285744437e-05,0.0
4,50,29400,0.000896904459701509,3.0556868844303175e-05,0.0
4,51,30000,0.0008511011754092615,2.9899476987929236e-05,0.0
4,52,30600,0.0008076286658785951,2.9852208816204804e-05,0.0
4,53,31200,0.0012217227466949814,3.943544660008306e-05,0.0
4,54,31800,0.001445226466925961,4.060499743146738e-05,0.0
4,55,32400,0.0014185378751904692,3.954981721183714e-05,0.0
4,56,33000,0.0013895682973127114,3.8345953778033135e-05,0.0
4,57,33600,0.0012644455466826621,3.867862065264775e-05,0.0
4,58,34200,0.0013734999569827912,4.1192997701022386e-05,0.0
