bearing_id,file_idx,time_sec
3,1,0
3,2,600
3,3,1200
3,4,1800
3,5,2400
3,6,3000
3,7,3600
3,8,4200
3,9,4800
3,10,5400
3,11,6000
3,12,6600
3,13,7200
3,14,7800
3,15,8400
3,16,9000
3,17,9600
3,18,10200
3,19,10800
3,20,11400
3,21,12000
3,22,12600
3,23,13200
3,24,13800
3,25,14400
3,26,15000
3,27,15600
3,28,16200
3,29,16800
3,30,17400
3,31,18000
3,32,18600
3,33,19200
3,34,19800
3,35,20400
3,36,21000
3,37,21600
3,38,22200
3,39,22800
3,40,23400
3,41,24000
3,42,24600
3,43,25200
3,44,25800
3,45,26400
3,46,27000
3,47,27600
3,48,28200
3,49,28800
3,50,29400
3,51,30000
3,52,30600
3,53,31200
3,54,31800
3,55,32400
3,56,33000
3,57,33600
3,58,34200
3,59,34800
3,60,35400
3,61,36000
3,62,36600
3,63,37200
3,64,37800
3,65,38400
3,66,39000
3,67,39600
3,68,40200
3,69,40800
3,70,41400
3,71,42000
3,72,42600
3,73,43200
3,74,43800
3,75,44400
3,76,45000
3,77,45600
3,78,46200
3,79,46800
3,80,47400
3,81,48000
3,82,48600
3,83,49200
3,84,49800
3,85,50400
3,86,51000
3,87,51600
3,88,52200
3,89,52800
