bearing_id,file_idx,time_sec,HI_SPE,HI_T2
4,1,0,0.3923715,0.07327098
4,2,600,0.3888759,0.08365805
4,3,1200,0.43701184,0.09930229
4,4,1800,0.32802212,0.0306377
4,5,2400,0.3502316,0.026706196
4,6,3000,0.33831844,0.025625072
4,7,3600,0.3337355,0.030270964
4,8,4200,0.3961137,0.026506672
4,9,4800,0.3387029,0.053893268
4,10,5400,0.39826053,0.12235899
4,11,6000,0.3908805,0.13037172
4,12,6600,0.40623733,0.15190288
4,13,7200,0.38863868,0.13101816
4,14,7800,0.44538674,0.1405258
4,15,8400,0.47018778,0.1694251
4,16,9000,0.43504834,0.031457804
4,17,9600,0.36075565,0.031409808
4,18,10200,0.38190222,0.038319055
4,19,10800,0.29568732,0.03185775
4,20,11400,0.28409174,0.04489367
4,21,12000,0.28976455,0.04783714
4,22,12600,0.4113422,0.14478156
4,23,13200,0.42466766,0.17263466
4,24,13800,0.44258478,0.19901496
4,25,14400,0.41484177,0.1846016
4,26,15000,0.4292355,0.17876118
4,27,15600,0.42149425,0.17471144
4,28,16200,0.34120142,0.030804105
4,29,16800,0.35295495,0.013412499
4,30,17400,0.36805806,0.03311555
4,31,18000,0.35136235,0.033242367
4,32,18600,0.31519526,0.043697096
4,33,19200,0.3510006,0.07148754
4,34,19800,0.4371813,0.17255715
4,35,20400,0.4611946,0.20336066
4,36,21000,0.47057742,0.18532898
4,37,21600,0.4805799,0.20799407
4,38,22200,0.4134556,0.19600125
4,39,22800,0.40843153,0.1805837
4,40,23400,0.33407047,0.04842066
4,41,24000,0.3299114,0.08352817
4,42,24600,0.42415744,0.054375734
4,43,25200,0.42042178,0.05634861
4,44,25800,0.38708398,0.05622284
4,45,26400,0.33557343,0.06763994
4,46,27000,0.36845416,0.06295492
4,47,27600,0.47077084,0.22360836
4,48,28200,0.45137805,0.20831111
4,49,28800,0.47316116,0.21987644
4,50,29400,0.45756668,0.21028435
4,51,30000,0.4679141,0.21346425
4,52,30600,0.48542425,0.20746261
4,53,31200,0.404556,0.042872753
4,54,31800,0.3367575,0.042878613
4,55,32400,0.33782968,0.04001129
4,56,33000,0.33235523,0.058104724
4,57,33600,0.34631345,0.071743235
4,58,34200,0.3293999,0.066966705
4,59,34800,0.42368296,0.20876877
4,60,35400,0.43378174,0.21204036
4,61,36000,0.4214015,0.1951969
4,62,36600,0.43612906,0.21736825
4,63,37200,0.43900517,0.21544194
4,64,37800,0.8977025,0.13436435
4,65,38400,0.354672,0.045864824
4,66,39000,0.35380566,0.043930918
4,67,39600,0.34824294,0.026052276
4,68,40200,0.3228723,0.04671986
4,69,40800,0.31141868,0.10240405
4,70,41400,0.29383788,0.12504926
4,71,42000,0.42721137,0.1906126
4,72,42600,0.4197346,0.22145182
4,73,43200,0.4595829,0.24965934
4,74,43800,0.55724764,0.43336624
4,75,44400,0.45342106,0.33047017
4,76,45000,0.47109607,0.3076477
4,77,45600,0.6879332,1.0
4,78,46200,0.54003626,0.82863307
4,79,46800,0.58345246,0.79292434
4,80,47400,0.5292038,0.73353076
4,81,48000,0.79286814,0.5585415
4,82,48600,0.42505005,0.5610215
4,83,49200,0.5292184,0.28808445
4,84,49800,0.42939872,0.27139553
4,85,50400,0.4565869,0.3748563
4,86,51000,0.5061764,0.40924644
4,87,51600,0.44984266,0.43773785
4,88,52200,0.47883725,0.43488485
4,89,52800,0.46094677,0.69483143
4,90,53400,0.4130209,0.6889935
4,91,54000,0.40259272,0.58219576
4,92,54600,0.3377996,0.55897516
4,93,55200,0.35871163,0.5374864
4,94,55800,0.3609294,0.51928943
4,95,56400,0.3809463,0.4052261
4,96,57000,0.4886037,0.4051938
4,97,57600,0.47587022,0.41526386
4,98,58200,0.52936953,0.40830868
4,99,58800,0.65697724,0.35579774
4,100,59400,0.9242585,0.14961866
4,101,60000,1.0,0.12174566
4,102,60600,0.52933794,0.3687348
4,103,61200,0.4495607,0.60312134
4,104,61800,0.38090843,0.5301504
4,105,62400,0.46374956,0.38438126
4,106,63000,0.37191418,0.50853753
4,107,63600,0.3598134,0.6371029
4,108,64200,0.59289825,0.20685641
4,109,64800,0.6450208,0.19528086
4,110,65400,0.84975994,0.15874003
4,111,66000,0.4673218,0.28807798
4,112,66600,0.53422844,0.26183423
4,113,67200,0.5431546,0.33362675
4,114,67800,0.5207624,0.3674692
4,115,68400,0.6508494,0.14746936
4,116,69000,0.52076745,0.37629816
4,117,69600,0.4245136,0.3483777
4,118,70200,0.34703943,0.39544544
4,119,70800,0.32469434,0.4884727
4,120,71400,0.40135658,0.32882604
4,121,72000,0.44390273,0.3035222
4,122,72600,0.45189288,0.31362063
4,123,73200,0.43263906,0.2941948
4,124,73800,0.3950618,0.3229446
4,125,74400,0.4985334,0.40754747
4,126,75000,0.3766772,0.60877866
4,127,75600,0.49148896,0.9456183
4,128,76200,0.60804236,0.3818043
4,129,76800,0.5336351,0.47955686
4,130,77400,0.45051116,0.7522088
4,131,78000,0.5083956,0.44609398
4,132,78600,0.56414425,0.29684526
4,133,79200,0.47656432,0.4335801
4,134,79800,0.47312587,0.5635737
4,135,80400,0.4354215,0.51850456
4,136,81000,0.43239605,0.5240854
4,137,81600,0.44509476,0.53698146
